block,arm,tokens_per_second,prefetch_bytes,first_use_bytes,evicted_unused_bytes,resident_unused_bytes,source
0,demand-only,5.171266968109951,0,0,0,0,block-00/demand-only/worker-result.json
0,all-positive,3.6070359739379754,582109102080,24447025152,555378278400,2283798528,block-00/all-positive/worker-result.json
0,finemoe-c,4.472274093328436,252238626816,30104616960,221268934656,865075200,block-00/finemoe-c/worker-result.json
0,finemoe-bpf,4.502286280688423,251477360640,30052712448,220507668480,916979712,block-00/finemoe-bpf/worker-result.json
1,demand-only,5.142033449815797,0,0,0,0,block-01/demand-only/worker-result.json
1,all-positive,3.6227676851349924,582680051712,24602738688,555741609984,2335703040,block-01/all-positive/worker-result.json
1,finemoe-c,4.499414680828458,252290531328,30070013952,221303537664,916979712,block-01/finemoe-c/worker-result.json
1,finemoe-bpf,4.518959064902409,250283556864,30329536512,218985136128,968884224,block-01/finemoe-bpf/worker-result.json
2,demand-only,5.172782443038419,0,0,0,0,block-02/demand-only/worker-result.json
2,all-positive,3.6331043231530655,580205936640,23841472512,554167173120,2197291008,block-02/all-positive/worker-result.json
2,finemoe-c,4.536444223851779,250889109504,30070013952,219832909824,986185728,block-02/finemoe-c/worker-result.json
2,finemoe-bpf,4.514419513947149,251096727552,29793189888,220351954944,951582720,block-02/finemoe-bpf/worker-result.json
3,demand-only,5.1905095124910074,0,0,0,0,block-03/demand-only/worker-result.json
3,all-positive,3.6145922027357282,589081608192,25260195840,561554915328,2266497024,block-03/all-positive/worker-result.json
3,finemoe-c,4.524110408347507,252048310272,30329536512,220749889536,968884224,block-03/finemoe-c/worker-result.json
3,finemoe-bpf,4.525706474823342,250871808000,30294933504,219659894784,916979712,block-03/finemoe-bpf/worker-result.json
4,demand-only,5.1567938711360455,0,0,0,0,block-04/demand-only/worker-result.json
4,all-positive,3.6328740126624854,578925625344,24274010112,552471625728,2179989504,block-04/all-positive/worker-result.json
4,finemoe-c,4.493147800522962,251961802752,29983506432,220974809088,1003487232,block-04/finemoe-c/worker-result.json
4,finemoe-bpf,4.511227245809044,251615772672,29948903424,220767191040,899678208,block-04/finemoe-bpf/worker-result.json
