block,arm,high_pid,low_pid,high_latency_s,low_latency_s,high_median_ms,low_median_ms,high_bw_gbps,low_bw_gbps,high_rc,low_rc,high_timeout,low_timeout,sched_meta,mem_meta,notes
0,baseline,987204,987205,56.438986,56.656841,15662.6,15601.7,12.8941,12.9445,0,0,0,0,n/a,n/a,
0,memory_only,987953,987954,25.228055,26.917364,13206.3,413.49,15.2925,488.418,0,0,0,0,n/a,act=1634629;allow=1451986;deny=182643,
0,sched_only,988282,988283,3.959820,6.080187,413.363,413.518,488.569,488.386,0,0,0,0,hit=12;miss=0;mod=12,n/a,
0,combined,988324,988325,3.549469,6.463168,413.408,413.453,488.515,488.462,0,0,0,0,hit=12;miss=0;mod=12,act=1516559;allow=1349413;deny=167146,
1,memory_only,988392,988393,25.159860,26.852055,13581,413.609,14.8705,488.278,0,0,0,0,n/a,act=1631279;allow=1449562;deny=181717,
1,sched_only,988731,988732,3.938445,6.076045,413.544,413.639,488.355,488.243,0,0,0,0,hit=12;miss=0;mod=12,n/a,
1,combined,988772,988773,3.538059,6.456694,413.587,413.582,488.304,488.31,0,0,0,0,hit=12;miss=0;mod=12,act=1541079;allow=1370992;deny=170087,
1,baseline,988835,988836,56.850576,56.595119,15584.1,15566.7,12.9591,12.9736,0,0,0,0,n/a,n/a,
2,sched_only,989533,989534,3.901500,6.018736,413.281,413.352,488.666,488.582,0,0,0,0,hit=12;miss=0;mod=12,n/a,
2,combined,989586,989587,3.539000,6.448404,413.32,413.451,488.619,488.465,0,0,0,0,hit=12;miss=0;mod=12,act=1543899;allow=1373763;deny=170136,
2,baseline,989660,989661,56.626556,56.844765,15667.3,15611.3,12.8903,12.9365,0,0,0,0,n/a,n/a,
2,memory_only,990631,990632,26.571034,28.229401,12865.3,413.498,15.6977,488.41,0,0,0,0,n/a,act=1639629;allow=1457647;deny=181982,
3,combined,990804,990805,3.562501,6.455460,413.466,413.558,488.447,488.339,0,0,0,0,hit=12;miss=0;mod=12,act=1540309;allow=1370609;deny=169700,
3,baseline,990875,990876,56.547662,56.279050,15568,15600.5,12.9725,12.9455,0,0,0,0,n/a,n/a,
3,memory_only,992258,992259,24.660404,26.355107,15059,413.625,13.411,488.259,0,0,0,0,n/a,act=1614909;allow=1435044;deny=179865,
3,sched_only,992813,992814,3.898265,6.024867,413.562,413.573,488.334,488.32,0,0,0,0,hit=12;miss=0;mod=12,n/a,
4,baseline,993165,993166,56.282068,56.537156,15652,15608.8,12.9029,12.9386,0,0,0,0,n/a,n/a,
4,memory_only,994011,994012,24.948039,26.640458,13852.6,413.48,14.579,488.431,0,0,0,0,n/a,act=1604149;allow=1426100;deny=178049,
4,sched_only,994286,994287,3.964001,6.104975,413.441,413.52,488.477,488.383,0,0,0,0,hit=12;miss=0;mod=12,n/a,
4,combined,994474,994475,3.546399,6.437236,413.345,413.505,488.59,488.401,0,0,0,0,hit=12;miss=0;mod=12,act=1538679;allow=1368922;deny=169757,
