timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:51:13.214, 12.05 W, 15 MiB, 0 %
2026/09/06 23:51:13.416, 12.05 W, 15 MiB, 0 %
2026/09/06 23:51:13.617, 12.05 W, 15 MiB, 0 %
2026/09/06 23:51:13.821, 12.22 W, 51 MiB, 0 %
2026/09/06 23:51:14.021, 12.22 W, 521 MiB, 0 %
2026/09/06 23:51:14.221, 12.22 W, 521 MiB, 0 %
2026/09/06 23:51:14.422, 29.23 W, 521 MiB, 0 %
2026/09/06 23:51:14.622, 29.23 W, 521 MiB, 0 %
2026/09/06 23:51:14.822, 37.00 W, 521 MiB, 0 %
2026/09/06 23:51:15.022, 37.00 W, 521 MiB, 0 %
2026/09/06 23:51:15.223, 37.00 W, 521 MiB, 0 %
2026/09/06 23:51:15.423, 55.65 W, 521 MiB, 0 %
2026/09/06 23:51:15.623, 55.65 W, 521 MiB, 0 %
2026/09/06 23:51:15.823, 55.67 W, 521 MiB, 0 %
2026/09/06 23:51:16.024, 55.67 W, 521 MiB, 0 %
2026/09/06 23:51:16.224, 55.67 W, 521 MiB, 0 %
2026/09/06 23:51:16.424, 55.62 W, 521 MiB, 0 %
2026/09/06 23:51:16.624, 55.62 W, 521 MiB, 0 %
2026/09/06 23:51:16.825, 55.55 W, 521 MiB, 0 %
2026/09/06 23:51:17.025, 55.55 W, 521 MiB, 0 %
2026/09/06 23:51:17.225, 55.55 W, 521 MiB, 0 %
2026/09/06 23:51:17.425, 55.55 W, 521 MiB, 0 %
2026/09/06 23:51:17.626, 55.55 W, 521 MiB, 0 %
2026/09/06 23:51:17.826, 55.62 W, 521 MiB, 0 %
2026/09/06 23:51:18.026, 55.62 W, 521 MiB, 0 %
2026/09/06 23:51:18.226, 55.62 W, 521 MiB, 0 %
2026/09/06 23:51:18.427, 55.74 W, 521 MiB, 0 %
2026/09/06 23:51:18.627, 55.74 W, 521 MiB, 0 %
2026/09/06 23:51:18.827, 55.77 W, 521 MiB, 0 %
2026/09/06 23:51:19.027, 55.77 W, 521 MiB, 0 %
2026/09/06 23:51:19.228, 55.77 W, 521 MiB, 0 %
2026/09/06 23:51:19.428, 55.70 W, 521 MiB, 0 %
2026/09/06 23:51:19.628, 55.70 W, 521 MiB, 0 %
2026/09/06 23:51:19.828, 55.61 W, 521 MiB, 0 %
2026/09/06 23:51:20.029, 55.61 W, 521 MiB, 0 %
2026/09/06 23:51:20.229, 55.61 W, 2829 MiB, 0 %
