setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
work-b64-w8,128,64,8,8192,1,1,native,91701,0,,0.264768004,8,128,1048576,false,false,false,sweep-work-b64-w8-block-01-order-01-native
work-b64-w8,128,64,8,8192,1,2,off,91701,0,0,0.524191976,8,128,1048576,false,true,true,sweep-work-b64-w8-block-01-order-02-off
work-b64-w8,128,64,8,8192,1,3,on,91701,0,0,0.520928025,8,128,1048576,true,true,true,sweep-work-b64-w8-block-01-order-03-on
work-b64-w8,128,64,8,8192,2,1,off,91702,0,0,0.524511993,8,128,1048576,false,true,true,sweep-work-b64-w8-block-02-order-01-off
work-b64-w8,128,64,8,8192,2,2,on,91702,0,0,0.524096012,8,128,1048576,true,true,true,sweep-work-b64-w8-block-02-order-02-on
work-b64-w8,128,64,8,8192,2,3,native,91702,0,,0.264768004,8,128,1048576,false,false,false,sweep-work-b64-w8-block-02-order-03-native
work-b64-w8,128,64,8,8192,3,1,on,91703,0,0,0.523808002,8,128,1048576,true,true,true,sweep-work-b64-w8-block-03-order-01-on
work-b64-w8,128,64,8,8192,3,2,native,91703,0,,0.262239993,8,128,1048576,false,false,false,sweep-work-b64-w8-block-03-order-02-native
work-b64-w8,128,64,8,8192,3,3,off,91703,0,0,0.523616016,8,128,1048576,false,true,true,sweep-work-b64-w8-block-03-order-03-off
work-b64-w8,128,64,8,8192,4,1,native,91704,0,,0.261952013,8,128,1048576,false,false,false,sweep-work-b64-w8-block-04-order-01-native
work-b64-w8,128,64,8,8192,4,2,off,91704,0,0,0.523711979,8,128,1048576,false,true,true,sweep-work-b64-w8-block-04-order-02-off
work-b64-w8,128,64,8,8192,4,3,on,91704,0,0,0.523999989,8,128,1048576,true,true,true,sweep-work-b64-w8-block-04-order-03-on
work-b64-w8,128,64,8,8192,5,1,off,91705,0,0,0.524064004,8,128,1048576,false,true,true,sweep-work-b64-w8-block-05-order-01-off
work-b64-w8,128,64,8,8192,5,2,on,91705,0,0,0.525503993,8,128,1048576,true,true,true,sweep-work-b64-w8-block-05-order-02-on
work-b64-w8,128,64,8,8192,5,3,native,91705,0,,0.264544010,8,128,1048576,false,false,false,sweep-work-b64-w8-block-05-order-03-native
work-b64-w8,128,64,8,8192,6,1,on,91706,0,0,0.524703979,8,128,1048576,true,true,true,sweep-work-b64-w8-block-06-order-01-on
work-b64-w8,128,64,8,8192,6,2,native,91706,0,,0.260320008,8,128,1048576,false,false,false,sweep-work-b64-w8-block-06-order-02-native
work-b64-w8,128,64,8,8192,6,3,off,91706,0,0,0.523679972,8,128,1048576,false,true,true,sweep-work-b64-w8-block-06-order-03-off
work-b64-w8,128,64,8,8192,7,1,native,91707,0,,0.251776010,8,128,1048576,false,false,false,sweep-work-b64-w8-block-07-order-01-native
work-b64-w8,128,64,8,8192,7,2,off,91707,0,0,0.518208027,8,128,1048576,false,true,true,sweep-work-b64-w8-block-07-order-02-off
work-b64-w8,128,64,8,8192,7,3,on,91707,0,0,0.521535993,8,128,1048576,true,true,true,sweep-work-b64-w8-block-07-order-03-on
work-b64-w8,128,64,8,8192,8,1,off,91708,0,0,0.527711987,8,128,1048576,false,true,true,sweep-work-b64-w8-block-08-order-01-off
work-b64-w8,128,64,8,8192,8,2,on,91708,0,0,0.521632016,8,128,1048576,true,true,true,sweep-work-b64-w8-block-08-order-02-on
work-b64-w8,128,64,8,8192,8,3,native,91708,0,,0.264384001,8,128,1048576,false,false,false,sweep-work-b64-w8-block-08-order-03-native
work-b64-w8,128,64,8,8192,9,1,on,91709,0,0,0.521440029,8,128,1048576,true,true,true,sweep-work-b64-w8-block-09-order-01-on
work-b64-w8,128,64,8,8192,9,2,native,91709,0,,0.264479995,8,128,1048576,false,false,false,sweep-work-b64-w8-block-09-order-02-native
work-b64-w8,128,64,8,8192,9,3,off,91709,0,0,0.521568000,8,128,1048576,false,true,true,sweep-work-b64-w8-block-09-order-03-off
work-b64-w8,128,64,8,8192,10,1,native,91710,0,,0.262495995,8,128,1048576,false,false,false,sweep-work-b64-w8-block-10-order-01-native
work-b64-w8,128,64,8,8192,10,2,off,91710,0,0,0.523904026,8,128,1048576,false,true,true,sweep-work-b64-w8-block-10-order-02-off
work-b64-w8,128,64,8,8192,10,3,on,91710,0,0,0.521247983,8,128,1048576,true,true,true,sweep-work-b64-w8-block-10-order-03-on
work-b64-w32,128,64,32,8192,1,1,native,91801,0,,0.273056000,8,128,1048576,false,false,false,sweep-work-b64-w32-block-01-order-01-native
work-b64-w32,128,64,32,8192,1,2,off,91801,0,0,0.524223983,8,128,1048576,false,true,true,sweep-work-b64-w32-block-01-order-02-off
work-b64-w32,128,64,32,8192,1,3,on,91801,0,0,0.524384022,8,128,1048576,true,true,true,sweep-work-b64-w32-block-01-order-03-on
work-b64-w32,128,64,32,8192,2,1,off,91802,0,0,0.523999989,8,128,1048576,false,true,true,sweep-work-b64-w32-block-02-order-01-off
work-b64-w32,128,64,32,8192,2,2,on,91802,0,0,0.504895985,8,128,1048576,true,true,true,sweep-work-b64-w32-block-02-order-02-on
work-b64-w32,128,64,32,8192,2,3,native,91802,0,,0.270687997,8,128,1048576,false,false,false,sweep-work-b64-w32-block-02-order-03-native
work-b64-w32,128,64,32,8192,3,1,on,91803,0,0,0.524544001,8,128,1048576,true,true,true,sweep-work-b64-w32-block-03-order-01-on
work-b64-w32,128,64,32,8192,3,2,native,91803,0,,0.275103986,8,128,1048576,false,false,false,sweep-work-b64-w32-block-03-order-02-native
work-b64-w32,128,64,32,8192,3,3,off,91803,0,0,0.523967981,8,128,1048576,false,true,true,sweep-work-b64-w32-block-03-order-03-off
work-b64-w32,128,64,32,8192,4,1,native,91804,0,,0.272480011,8,128,1048576,false,false,false,sweep-work-b64-w32-block-04-order-01-native
work-b64-w32,128,64,32,8192,4,2,off,91804,0,0,0.523648024,8,128,1048576,false,true,true,sweep-work-b64-w32-block-04-order-02-off
work-b64-w32,128,64,32,8192,4,3,on,91804,0,0,0.525312006,8,128,1048576,true,true,true,sweep-work-b64-w32-block-04-order-03-on
work-b64-w32,128,64,32,8192,5,1,off,91805,0,0,0.524384022,8,128,1048576,false,true,true,sweep-work-b64-w32-block-05-order-01-off
