timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:58:16.005, 12.03 W, 15 MiB, 0 %
2026/09/06 23:58:16.213, 12.03 W, 15 MiB, 0 %
2026/09/06 23:58:16.413, 12.03 W, 15 MiB, 0 %
2026/09/06 23:58:16.614, 12.03 W, 49 MiB, 0 %
2026/09/06 23:58:16.814, 12.03 W, 521 MiB, 0 %
2026/09/06 23:58:17.015, 18.48 W, 521 MiB, 0 %
2026/09/06 23:58:17.215, 18.48 W, 521 MiB, 0 %
2026/09/06 23:58:17.415, 36.35 W, 521 MiB, 0 %
2026/09/06 23:58:17.615, 36.35 W, 521 MiB, 0 %
2026/09/06 23:58:17.816, 36.35 W, 521 MiB, 0 %
2026/09/06 23:58:18.016, 55.55 W, 521 MiB, 0 %
2026/09/06 23:58:18.216, 55.55 W, 521 MiB, 0 %
2026/09/06 23:58:18.416, 55.53 W, 521 MiB, 0 %
2026/09/06 23:58:18.617, 55.53 W, 521 MiB, 0 %
2026/09/06 23:58:18.817, 55.53 W, 521 MiB, 0 %
2026/09/06 23:58:19.017, 55.53 W, 521 MiB, 0 %
2026/09/06 23:58:19.218, 55.53 W, 521 MiB, 0 %
2026/09/06 23:58:19.418, 55.46 W, 521 MiB, 0 %
2026/09/06 23:58:19.618, 55.46 W, 521 MiB, 0 %
2026/09/06 23:58:19.818, 55.46 W, 521 MiB, 0 %
2026/09/06 23:58:20.018, 55.40 W, 521 MiB, 0 %
2026/09/06 23:58:20.219, 55.40 W, 521 MiB, 0 %
2026/09/06 23:58:20.419, 55.51 W, 521 MiB, 0 %
2026/09/06 23:58:20.619, 55.51 W, 521 MiB, 0 %
2026/09/06 23:58:20.820, 55.51 W, 521 MiB, 0 %
2026/09/06 23:58:21.021, 55.64 W, 521 MiB, 0 %
2026/09/06 23:58:21.221, 55.64 W, 521 MiB, 0 %
2026/09/06 23:58:21.421, 55.59 W, 521 MiB, 0 %
2026/09/06 23:58:21.621, 55.59 W, 521 MiB, 0 %
2026/09/06 23:58:21.822, 55.59 W, 521 MiB, 0 %
2026/09/06 23:58:22.022, 55.58 W, 521 MiB, 0 %
2026/09/06 23:58:22.222, 55.58 W, 521 MiB, 0 %
2026/09/06 23:58:22.422, 55.60 W, 521 MiB, 0 %
2026/09/06 23:58:22.622, 55.60 W, 521 MiB, 0 %
2026/09/06 23:58:22.822, 55.60 W, 521 MiB, 0 %
2026/09/06 23:58:23.023, 55.65 W, 3339 MiB, 0 %
2026/09/06 23:58:23.223, 55.65 W, 10507 MiB, 0 %
2026/09/06 23:58:23.423, 76.34 W, 17675 MiB, 0 %
2026/09/06 23:58:23.623, 76.34 W, 24971 MiB, 0 %
2026/09/06 23:58:23.823, 76.34 W, 32107 MiB, 0 %
2026/09/06 23:58:24.023, 107.98 W, 32107 MiB, 100 %
2026/09/06 23:58:24.223, 107.98 W, 32107 MiB, 100 %
2026/09/06 23:58:24.424, 114.54 W, 32107 MiB, 100 %
2026/09/06 23:58:24.624, 114.54 W, 32107 MiB, 100 %
2026/09/06 23:58:24.824, 114.54 W, 32107 MiB, 100 %
2026/09/06 23:58:25.024, 114.40 W, 32107 MiB, 100 %
2026/09/06 23:58:25.224, 114.40 W, 32107 MiB, 100 %
2026/09/06 23:58:25.424, 114.42 W, 32107 MiB, 100 %
2026/09/06 23:58:25.625, 114.42 W, 32107 MiB, 100 %
