config,valid_blocks,attempts,pp_tok_s_geomean,mean_overhead_pct_vs_baseline
baseline,10,10,37762.862160936136,
gpubpf_launchlate,10,10,37177.99235951875,1.5471767419237124
nvbit_launchlate,10,10,33858.198235782445,10.329552349471008
