repeat,arm,elapsed_ms,source
repeat-01,baseline_gpu,0.086201,repeat-01/client.log
repeat-01,register,0.191123,repeat-01/client.log
repeat-01,offload1,462.38058,repeat-01/client.log
repeat-01,cpu_restore,242.192948,repeat-01/client.log
repeat-01,offload2_release,3.155886,repeat-01/client.log
repeat-01,gpu_restore,2.224998,repeat-01/client.log
repeat-01,steady_gpu,0.011451,repeat-01/client.log
repeat-02,baseline_gpu,0.086169,repeat-02/client.log
repeat-02,register,0.167468,repeat-02/client.log
repeat-02,offload1,289.875217,repeat-02/client.log
repeat-02,cpu_restore,195.962991,repeat-02/client.log
repeat-02,offload2_release,3.082414,repeat-02/client.log
repeat-02,gpu_restore,1.289673,repeat-02/client.log
repeat-02,steady_gpu,0.01038,repeat-02/client.log
repeat-03,baseline_gpu,0.087297,repeat-03/client.log
repeat-03,register,0.176912,repeat-03/client.log
repeat-03,offload1,363.951652,repeat-03/client.log
repeat-03,cpu_restore,239.005537,repeat-03/client.log
repeat-03,offload2_release,3.052714,repeat-03/client.log
repeat-03,gpu_restore,1.35801,repeat-03/client.log
repeat-03,steady_gpu,0.009852,repeat-03/client.log
repeat-04,baseline_gpu,0.087626,repeat-04/client.log
repeat-04,register,0.1677,repeat-04/client.log
repeat-04,offload1,264.818521,repeat-04/client.log
repeat-04,cpu_restore,186.972189,repeat-04/client.log
repeat-04,offload2_release,4.473852,repeat-04/client.log
repeat-04,gpu_restore,1.100268,repeat-04/client.log
repeat-04,steady_gpu,0.013257,repeat-04/client.log
repeat-05,baseline_gpu,0.08858,repeat-05/client.log
repeat-05,register,0.179111,repeat-05/client.log
repeat-05,offload1,291.091166,repeat-05/client.log
repeat-05,cpu_restore,214.354414,repeat-05/client.log
repeat-05,offload2_release,3.104057,repeat-05/client.log
repeat-05,gpu_restore,1.307064,repeat-05/client.log
repeat-05,steady_gpu,0.01057,repeat-05/client.log
