block,position,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,automatic_admitted,module_loaded,map_key0,source
1,0,native,90903,0,,0.228128001,8,128,false,false,false,block-1-0-native
1,1,off,90904,0,0,0.330464005,8,128,false,true,true,block-1-1-off
1,2,on,90905,0,0,0.516991973,8,128,true,true,true,block-1-2-on
2,0,off,90906,0,0,0.328799993,8,128,false,true,true,block-2-0-off
2,1,on,90907,0,0,0.508415997,8,128,true,true,true,block-2-1-on
2,2,native,90908,0,,0.245504007,8,128,false,false,false,block-2-2-native
3,0,on,90909,0,0,0.511520028,8,128,true,true,true,block-3-0-on
3,1,native,90910,0,,0.199967995,8,128,false,false,false,block-3-1-native
3,2,off,90911,0,0,0.328191996,8,128,false,true,true,block-3-2-off
4,0,native,90912,0,,0.261920005,8,128,false,false,false,block-4-0-native
4,1,off,90913,0,0,0.332608014,8,128,false,true,true,block-4-1-off
4,2,on,90914,0,0,0.523872018,8,128,true,true,true,block-4-2-on
5,0,off,90915,0,0,0.328000009,8,128,false,true,true,block-5-0-off
5,1,on,90916,0,0,0.52115202,8,128,true,true,true,block-5-1-on
5,2,native,90917,0,,0.196480006,8,128,false,false,false,block-5-2-native
6,0,on,90918,0,0,0.521920025,8,128,true,true,true,block-6-0-on
6,1,native,90919,0,,0.231071994,8,128,false,false,false,block-6-1-native
6,2,off,90920,0,0,0.328096002,8,128,false,true,true,block-6-2-off
7,0,native,90921,0,,0.241408005,8,128,false,false,false,block-7-0-native
7,1,off,90922,0,0,0.329183996,8,128,false,true,true,block-7-1-off
7,2,on,90923,0,0,0.513184011,8,128,true,true,true,block-7-2-on
8,0,off,90924,0,0,0.327935994,8,128,false,true,true,block-8-0-off
8,1,on,90925,0,0,0.525183976,8,128,true,true,true,block-8-1-on
8,2,native,90926,0,,0.257824004,8,128,false,false,false,block-8-2-native
9,0,on,90927,0,0,0.521951973,8,128,true,true,true,block-9-0-on
9,1,native,90928,0,,0.253087997,8,128,false,false,false,block-9-1-native
9,2,off,90929,0,0,0.331808001,8,128,false,true,true,block-9-2-off
10,0,native,90930,0,,0.228735998,8,128,false,false,false,block-10-0-native
10,1,off,90931,0,0,0.330751985,8,128,false,true,true,block-10-1-off
10,2,on,90932,0,0,0.519648015,8,128,true,true,true,block-10-2-on
