setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
work-b1-w8,128,1,8,128,1,1,native,91701,0,,252.063990000,8,128,16384,false,false,false,sweep-work-b1-w8-block-01-order-01-native
work-b1-w8,128,1,8,128,1,2,off,91701,0,0,340.447992000,8,128,16384,false,true,true,sweep-work-b1-w8-block-01-order-02-off
work-b1-w8,128,1,8,128,1,3,on,91701,0,0,382.975996000,8,128,16384,true,true,true,sweep-work-b1-w8-block-01-order-03-on
work-b1-w8,128,1,8,128,2,1,off,91702,0,0,332.800001000,8,128,16384,false,true,true,sweep-work-b1-w8-block-02-order-01-off
work-b1-w8,128,1,8,128,2,2,on,91702,0,0,388.671994000,8,128,16384,true,true,true,sweep-work-b1-w8-block-02-order-02-on
work-b1-w8,128,1,8,128,2,3,native,91702,0,,246.687993000,8,128,16384,false,false,false,sweep-work-b1-w8-block-02-order-03-native
work-b1-w8,128,1,8,128,3,1,on,91703,0,0,382.048011000,8,128,16384,true,true,true,sweep-work-b1-w8-block-03-order-01-on
work-b1-w8,128,1,8,128,3,2,native,91703,0,,193.984002000,8,128,16384,false,false,false,sweep-work-b1-w8-block-03-order-02-native
work-b1-w8,128,1,8,128,3,3,off,91703,0,0,335.296005000,8,128,16384,false,true,true,sweep-work-b1-w8-block-03-order-03-off
work-b1-w8,128,1,8,128,4,1,native,91704,0,,225.920007000,8,128,16384,false,false,false,sweep-work-b1-w8-block-04-order-01-native
work-b1-w8,128,1,8,128,4,2,off,91704,0,0,339.136004000,8,128,16384,false,true,true,sweep-work-b1-w8-block-04-order-02-off
work-b1-w8,128,1,8,128,4,3,on,91704,0,0,388.960004000,8,128,16384,true,true,true,sweep-work-b1-w8-block-04-order-03-on
work-b1-w8,128,1,8,128,5,1,off,91705,0,0,334.784001000,8,128,16384,false,true,true,sweep-work-b1-w8-block-05-order-01-off
work-b1-w8,128,1,8,128,5,2,on,91705,0,0,387.071997000,8,128,16384,true,true,true,sweep-work-b1-w8-block-05-order-02-on
work-b1-w8,128,1,8,128,5,3,native,91705,0,,198.239997000,8,128,16384,false,false,false,sweep-work-b1-w8-block-05-order-03-native
work-b1-w8,128,1,8,128,6,1,on,91706,0,0,387.935996000,8,128,16384,true,true,true,sweep-work-b1-w8-block-06-order-01-on
work-b1-w8,128,1,8,128,6,2,native,91706,0,,198.624000000,8,128,16384,false,false,false,sweep-work-b1-w8-block-06-order-02-native
work-b1-w8,128,1,8,128,6,3,off,91706,0,0,334.208012000,8,128,16384,false,true,true,sweep-work-b1-w8-block-06-order-03-off
work-b1-w8,128,1,8,128,7,1,native,91707,0,,201.279998000,8,128,16384,false,false,false,sweep-work-b1-w8-block-07-order-01-native
