setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
work-b1-w32,128,1,32,128,3,3,off,91803,0,0,0.524096012,8,128,16384,false,true,true,sweep-work-b1-w32-block-03-order-03-off
work-b1-w32,128,1,32,128,4,1,native,91804,0,,0.259135991,8,128,16384,false,false,false,sweep-work-b1-w32-block-04-order-01-native
work-b1-w32,128,1,32,128,4,2,off,91804,0,0,0.523904026,8,128,16384,false,true,true,sweep-work-b1-w32-block-04-order-02-off
work-b1-w32,128,1,32,128,4,3,on,91804,0,0,0.518144011,8,128,16384,true,true,true,sweep-work-b1-w32-block-04-order-03-on
work-b1-w32,128,1,32,128,5,1,off,91805,0,0,0.523648024,8,128,16384,false,true,true,sweep-work-b1-w32-block-05-order-01-off
work-b1-w32,128,1,32,128,5,2,on,91805,0,0,0.524287999,8,128,16384,true,true,true,sweep-work-b1-w32-block-05-order-02-on
work-b1-w32,128,1,32,128,5,3,native,91805,0,,0.264191985,8,128,16384,false,false,false,sweep-work-b1-w32-block-05-order-03-native
work-b1-w32,128,1,32,128,6,1,on,91806,0,0,0.525312006,8,128,16384,true,true,true,sweep-work-b1-w32-block-06-order-01-on
work-b1-w32,128,1,32,128,6,2,native,91806,0,,0.252640009,8,128,16384,false,false,false,sweep-work-b1-w32-block-06-order-02-native
work-b1-w32,128,1,32,128,6,3,off,91806,0,0,0.524064004,8,128,16384,false,true,true,sweep-work-b1-w32-block-06-order-03-off
work-b1-w32,128,1,32,128,7,1,native,91807,0,,0.249183998,8,128,16384,false,false,false,sweep-work-b1-w32-block-07-order-01-native
work-b1-w32,128,1,32,128,7,2,off,91807,0,0,0.524864018,8,128,16384,false,true,true,sweep-work-b1-w32-block-07-order-02-off
work-b1-w32,128,1,32,128,7,3,on,91807,0,0,0.523999989,8,128,16384,true,true,true,sweep-work-b1-w32-block-07-order-03-on
work-b1-w32,128,1,32,128,8,1,off,91808,0,0,0.523231983,8,128,16384,false,true,true,sweep-work-b1-w32-block-08-order-01-off
work-b1-w32,128,1,32,128,8,2,on,91808,0,0,0.523487985,8,128,16384,true,true,true,sweep-work-b1-w32-block-08-order-02-on
work-b1-w32,128,1,32,128,8,3,native,91808,0,,0.224255994,8,128,16384,false,false,false,sweep-work-b1-w32-block-08-order-03-native
work-b1-w32,128,1,32,128,9,1,on,91809,0,0,0.524832010,8,128,16384,true,true,true,sweep-work-b1-w32-block-09-order-01-on
work-b1-w32,128,1,32,128,9,2,native,91809,0,,0.255584002,8,128,16384,false,false,false,sweep-work-b1-w32-block-09-order-02-native
work-b1-w32,128,1,32,128,9,3,off,91809,0,0,0.523552001,8,128,16384,false,true,true,sweep-work-b1-w32-block-09-order-03-off
work-b1-w32,128,1,32,128,10,1,native,91810,0,,0.251071990,8,128,16384,false,false,false,sweep-work-b1-w32-block-10-order-01-native
work-b1-w32,128,1,32,128,10,2,off,91810,0,0,0.524991989,8,128,16384,false,true,true,sweep-work-b1-w32-block-10-order-02-off
work-b1-w32,128,1,32,128,10,3,on,91810,0,0,0.524223983,8,128,16384,true,true,true,sweep-work-b1-w32-block-10-order-03-on
work-b1-w128,128,1,128,128,1,1,native,91901,0,,0.523935974,8,128,16384,false,false,false,sweep-work-b1-w128-block-01-order-01-native
work-b1-w128,128,1,128,128,1,2,off,91901,0,0,0.528895974,8,128,16384,false,true,true,sweep-work-b1-w128-block-01-order-02-off
work-b1-w128,128,1,128,128,1,3,on,91901,0,0,0.527584016,8,128,16384,true,true,true,sweep-work-b1-w128-block-01-order-03-on
work-b1-w128,128,1,128,128,2,1,off,91902,0,0,0.527999997,8,128,16384,false,true,true,sweep-work-b1-w128-block-02-order-01-off
work-b1-w128,128,1,128,128,2,2,on,91902,0,0,0.532992005,8,128,16384,true,true,true,sweep-work-b1-w128-block-02-order-02-on
work-b1-w128,128,1,128,128,2,3,native,91902,0,,0.524896026,8,128,16384,false,false,false,sweep-work-b1-w128-block-02-order-03-native
work-b1-w128,128,1,128,128,3,1,on,91903,0,0,0.532959998,8,128,16384,true,true,true,sweep-work-b1-w128-block-03-order-01-on
work-b1-w128,128,1,128,128,3,2,native,91903,0,,0.524031997,8,128,16384,false,false,false,sweep-work-b1-w128-block-03-order-02-native
work-b1-w128,128,1,128,128,3,3,off,91903,0,0,0.531808019,8,128,16384,false,true,true,sweep-work-b1-w128-block-03-order-03-off
work-b1-w128,128,1,128,128,4,1,native,91904,0,,0.524735987,8,128,16384,false,false,false,sweep-work-b1-w128-block-04-order-01-native
work-b1-w128,128,1,128,128,4,2,off,91904,0,0,0.534111977,8,128,16384,false,true,true,sweep-work-b1-w128-block-04-order-02-off
work-b1-w128,128,1,128,128,4,3,on,91904,0,0,0.532415986,8,128,16384,true,true,true,sweep-work-b1-w128-block-04-order-03-on
work-b1-w128,128,1,128,128,5,1,off,91905,0,0,0.531903982,8,128,16384,false,true,true,sweep-work-b1-w128-block-05-order-01-off
work-b1-w128,128,1,128,128,5,2,on,91905,0,0,0.531615973,8,128,16384,true,true,true,sweep-work-b1-w128-block-05-order-02-on
work-b1-w128,128,1,128,128,5,3,native,91905,0,,0.524511993,8,128,16384,false,false,false,sweep-work-b1-w128-block-05-order-03-native
work-b1-w128,128,1,128,128,6,1,on,91906,0,0,0.526943982,8,128,16384,true,true,true,sweep-work-b1-w128-block-06-order-01-on
work-b1-w128,128,1,128,128,6,2,native,91906,0,,0.524096012,8,128,16384,false,false,false,sweep-work-b1-w128-block-06-order-02-native
work-b1-w128,128,1,128,128,6,3,off,91906,0,0,0.529088020,8,128,16384,false,true,true,sweep-work-b1-w128-block-06-order-03-off
work-b1-w128,128,1,128,128,7,1,native,91907,0,,0.524640024,8,128,16384,false,false,false,sweep-work-b1-w128-block-07-order-01-native
work-b1-w128,128,1,128,128,7,2,off,91907,0,0,0.525183976,8,128,16384,false,true,true,sweep-work-b1-w128-block-07-order-02-off
work-b1-w128,128,1,128,128,7,3,on,91907,0,0,0.528735995,8,128,16384,true,true,true,sweep-work-b1-w128-block-07-order-03-on
work-b1-w128,128,1,128,128,8,1,off,91908,0,0,0.531199992,8,128,16384,false,true,true,sweep-work-b1-w128-block-08-order-01-off
work-b1-w128,128,1,128,128,8,2,on,91908,0,0,0.526528001,8,128,16384,true,true,true,sweep-work-b1-w128-block-08-order-02-on
work-b1-w128,128,1,128,128,8,3,native,91908,0,,0.524864018,8,128,16384,false,false,false,sweep-work-b1-w128-block-08-order-03-native
work-b1-w128,128,1,128,128,9,1,on,91909,0,0,0.529151976,8,128,16384,true,true,true,sweep-work-b1-w128-block-09-order-01-on
work-b1-w128,128,1,128,128,9,2,native,91909,0,,0.524447978,8,128,16384,false,false,false,sweep-work-b1-w128-block-09-order-02-native
work-b1-w128,128,1,128,128,9,3,off,91909,0,0,0.526080012,8,128,16384,false,true,true,sweep-work-b1-w128-block-09-order-03-off
work-b1-w128,128,1,128,128,10,1,native,91910,0,,0.524544001,8,128,16384,false,false,false,sweep-work-b1-w128-block-10-order-01-native
work-b1-w128,128,1,128,128,10,2,off,91910,0,0,0.532480001,8,128,16384,false,true,true,sweep-work-b1-w128-block-10-order-02-off
work-b1-w128,128,1,128,128,10,3,on,91910,0,0,0.528800011,8,128,16384,true,true,true,sweep-work-b1-w128-block-10-order-03-on
