shape	block	order	arm	run_id	setting_index	blocks	work
128	1	1	native	91701	0	1	8
128	1	2	off	91701	0	1	8
128	1	3	on	91701	0	1	8
128	2	1	off	91702	0	1	8
128	2	2	on	91702	0	1	8
128	2	3	native	91702	0	1	8
128	3	1	on	91703	0	1	8
128	3	2	native	91703	0	1	8
128	3	3	off	91703	0	1	8
128	4	1	native	91704	0	1	8
128	4	2	off	91704	0	1	8
128	4	3	on	91704	0	1	8
128	5	1	off	91705	0	1	8
128	5	2	on	91705	0	1	8
128	5	3	native	91705	0	1	8
128	6	1	on	91706	0	1	8
128	6	2	native	91706	0	1	8
128	6	3	off	91706	0	1	8
128	7	1	native	91707	0	1	8
128	7	2	off	91707	0	1	8
128	7	3	on	91707	0	1	8
128	8	1	off	91708	0	1	8
128	8	2	on	91708	0	1	8
128	8	3	native	91708	0	1	8
128	9	1	on	91709	0	1	8
128	9	2	native	91709	0	1	8
128	9	3	off	91709	0	1	8
128	10	1	native	91710	0	1	8
128	10	2	off	91710	0	1	8
128	10	3	on	91710	0	1	8
128	1	1	native	91801	1	1	32
128	1	2	off	91801	1	1	32
128	1	3	on	91801	1	1	32
128	2	1	off	91802	1	1	32
128	2	2	on	91802	1	1	32
128	2	3	native	91802	1	1	32
128	3	1	on	91803	1	1	32
128	3	2	native	91803	1	1	32
128	3	3	off	91803	1	1	32
128	4	1	native	91804	1	1	32
128	4	2	off	91804	1	1	32
128	4	3	on	91804	1	1	32
128	5	1	off	91805	1	1	32
128	5	2	on	91805	1	1	32
128	5	3	native	91805	1	1	32
128	6	1	on	91806	1	1	32
128	6	2	native	91806	1	1	32
128	6	3	off	91806	1	1	32
128	7	1	native	91807	1	1	32
128	7	2	off	91807	1	1	32
128	7	3	on	91807	1	1	32
128	8	1	off	91808	1	1	32
128	8	2	on	91808	1	1	32
128	8	3	native	91808	1	1	32
128	9	1	on	91809	1	1	32
128	9	2	native	91809	1	1	32
128	9	3	off	91809	1	1	32
128	10	1	native	91810	1	1	32
128	10	2	off	91810	1	1	32
128	10	3	on	91810	1	1	32
128	1	1	native	91901	2	1	128
128	1	2	off	91901	2	1	128
128	1	3	on	91901	2	1	128
128	2	1	off	91902	2	1	128
128	2	2	on	91902	2	1	128
128	2	3	native	91902	2	1	128
128	3	1	on	91903	2	1	128
128	3	2	native	91903	2	1	128
128	3	3	off	91903	2	1	128
128	4	1	native	91904	2	1	128
128	4	2	off	91904	2	1	128
128	4	3	on	91904	2	1	128
128	5	1	off	91905	2	1	128
128	5	2	on	91905	2	1	128
128	5	3	native	91905	2	1	128
128	6	1	on	91906	2	1	128
128	6	2	native	91906	2	1	128
128	6	3	off	91906	2	1	128
128	7	1	native	91907	2	1	128
128	7	2	off	91907	2	1	128
128	7	3	on	91907	2	1	128
128	8	1	off	91908	2	1	128
128	8	2	on	91908	2	1	128
128	8	3	native	91908	2	1	128
128	9	1	on	91909	2	1	128
128	9	2	native	91909	2	1	128
128	9	3	off	91909	2	1	128
128	10	1	native	91910	2	1	128
128	10	2	off	91910	2	1	128
128	10	3	on	91910	2	1	128
