config,valid_blocks,attempts,pp_tok_s_geomean,mean_overhead_pct_vs_baseline
baseline,1,1,37842.42031800002,
gpubpf_launchlate,1,1,37088.27487499999,1.9928573190158234
nvbit_launchlate,1,1,33376.34666599999,11.801765358743932
