timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:50:46.212, 12.98 W, 15 MiB, 0 %
2026/09/06 23:50:46.415, 12.98 W, 15 MiB, 0 %
2026/09/06 23:50:46.615, 12.98 W, 15 MiB, 0 %
2026/09/06 23:50:46.815, 13.24 W, 35 MiB, 0 %
2026/09/06 23:50:47.016, 13.24 W, 521 MiB, 0 %
2026/09/06 23:50:47.216, 13.24 W, 521 MiB, 0 %
2026/09/06 23:50:47.417, 30.50 W, 521 MiB, 0 %
2026/09/06 23:50:47.617, 30.50 W, 521 MiB, 0 %
2026/09/06 23:50:47.817, 46.52 W, 521 MiB, 0 %
2026/09/06 23:50:48.017, 46.52 W, 521 MiB, 0 %
2026/09/06 23:50:48.217, 46.52 W, 521 MiB, 0 %
2026/09/06 23:50:48.418, 56.05 W, 521 MiB, 0 %
2026/09/06 23:50:48.618, 56.05 W, 521 MiB, 0 %
2026/09/06 23:50:48.818, 56.08 W, 521 MiB, 0 %
2026/09/06 23:50:49.018, 56.08 W, 521 MiB, 0 %
2026/09/06 23:50:49.219, 56.08 W, 521 MiB, 0 %
2026/09/06 23:50:49.419, 55.96 W, 521 MiB, 0 %
2026/09/06 23:50:49.619, 55.96 W, 521 MiB, 0 %
2026/09/06 23:50:49.820, 55.80 W, 521 MiB, 0 %
2026/09/06 23:50:50.020, 55.80 W, 521 MiB, 0 %
2026/09/06 23:50:50.220, 55.80 W, 521 MiB, 0 %
2026/09/06 23:50:50.420, 55.76 W, 521 MiB, 0 %
2026/09/06 23:50:50.621, 55.76 W, 521 MiB, 0 %
2026/09/06 23:50:50.821, 55.79 W, 521 MiB, 0 %
2026/09/06 23:50:51.021, 55.79 W, 521 MiB, 0 %
2026/09/06 23:50:51.221, 55.79 W, 521 MiB, 0 %
2026/09/06 23:50:51.422, 55.79 W, 521 MiB, 0 %
2026/09/06 23:50:51.622, 55.79 W, 521 MiB, 0 %
2026/09/06 23:50:51.822, 55.86 W, 521 MiB, 0 %
2026/09/06 23:50:52.022, 55.86 W, 521 MiB, 0 %
2026/09/06 23:50:52.222, 55.86 W, 521 MiB, 0 %
2026/09/06 23:50:52.423, 55.88 W, 521 MiB, 0 %
2026/09/06 23:50:52.623, 55.88 W, 521 MiB, 0 %
2026/09/06 23:50:52.823, 55.76 W, 521 MiB, 0 %
2026/09/06 23:50:53.024, 55.76 W, 521 MiB, 0 %
2026/09/06 23:50:53.224, 55.76 W, 521 MiB, 0 %
2026/09/06 23:50:53.424, 55.64 W, 3977 MiB, 0 %
2026/09/06 23:50:53.624, 55.64 W, 11145 MiB, 0 %
2026/09/06 23:50:53.825, 74.92 W, 18441 MiB, 100 %
2026/09/06 23:50:54.025, 74.92 W, 25609 MiB, 100 %
2026/09/06 23:50:54.225, 74.92 W, 32107 MiB, 100 %
2026/09/06 23:50:54.425, 101.65 W, 32107 MiB, 100 %
2026/09/06 23:50:54.625, 101.65 W, 32107 MiB, 100 %
2026/09/06 23:50:54.825, 114.52 W, 32107 MiB, 100 %
2026/09/06 23:50:55.025, 114.52 W, 32107 MiB, 100 %
2026/09/06 23:50:55.226, 114.52 W, 32107 MiB, 100 %
2026/09/06 23:50:55.426, 114.62 W, 32107 MiB, 100 %
2026/09/06 23:50:55.626, 114.62 W, 32107 MiB, 100 %
2026/09/06 23:50:55.826, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:50:56.026, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:50:56.226, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:50:56.427, 114.37 W, 32107 MiB, 100 %
2026/09/06 23:50:56.627, 114.37 W, 32107 MiB, 100 %
2026/09/06 23:50:56.827, 113.00 W, 32107 MiB, 100 %
2026/09/06 23:50:57.027, 113.00 W, 32107 MiB, 100 %
2026/09/06 23:50:57.227, 113.00 W, 32107 MiB, 100 %
2026/09/06 23:50:57.427, 110.78 W, 32107 MiB, 100 %
2026/09/06 23:50:57.628, 110.78 W, 32107 MiB, 100 %
2026/09/06 23:50:57.828, 110.82 W, 32107 MiB, 100 %
2026/09/06 23:50:58.028, 110.82 W, 32107 MiB, 100 %
2026/09/06 23:50:58.228, 110.82 W, 32107 MiB, 100 %
2026/09/06 23:50:58.429, 113.05 W, 32107 MiB, 100 %
2026/09/06 23:50:58.629, 113.05 W, 32107 MiB, 100 %
2026/09/06 23:50:58.829, 114.10 W, 32107 MiB, 100 %
2026/09/06 23:50:59.029, 114.10 W, 32107 MiB, 100 %
2026/09/06 23:50:59.229, 114.10 W, 32107 MiB, 100 %
2026/09/06 23:50:59.430, 114.60 W, 32107 MiB, 100 %
2026/09/06 23:50:59.630, 114.60 W, 32107 MiB, 100 %
2026/09/06 23:50:59.830, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:51:00.030, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:51:00.230, 114.53 W, 32107 MiB, 100 %
2026/09/06 23:51:00.430, 114.41 W, 32107 MiB, 100 %
2026/09/06 23:51:00.631, 114.41 W, 32107 MiB, 100 %
2026/09/06 23:51:00.831, 112.92 W, 32107 MiB, 100 %
2026/09/06 23:51:01.031, 112.92 W, 32107 MiB, 100 %
2026/09/06 23:51:01.231, 112.92 W, 32107 MiB, 100 %
2026/09/06 23:51:01.431, 110.21 W, 32107 MiB, 100 %
2026/09/06 23:51:01.632, 110.21 W, 32107 MiB, 100 %
2026/09/06 23:51:01.832, 110.73 W, 32107 MiB, 100 %
2026/09/06 23:51:02.032, 110.73 W, 32107 MiB, 100 %
2026/09/06 23:51:02.232, 110.73 W, 32107 MiB, 100 %
2026/09/06 23:51:02.432, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:51:02.633, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:51:02.833, 114.31 W, 32107 MiB, 100 %
2026/09/06 23:51:03.033, 114.31 W, 32107 MiB, 100 %
2026/09/06 23:51:03.233, 114.31 W, 32107 MiB, 100 %
2026/09/06 23:51:03.433, 114.90 W, 32107 MiB, 100 %
2026/09/06 23:51:03.633, 114.90 W, 32107 MiB, 100 %
2026/09/06 23:51:03.834, 114.61 W, 32107 MiB, 100 %
2026/09/06 23:51:04.034, 114.61 W, 32107 MiB, 100 %
2026/09/06 23:51:04.234, 114.61 W, 32107 MiB, 100 %
2026/09/06 23:51:04.434, 114.30 W, 32107 MiB, 100 %
2026/09/06 23:51:04.634, 114.30 W, 32107 MiB, 100 %
2026/09/06 23:51:04.834, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:51:05.035, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:51:05.235, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:51:05.435, 109.84 W, 29601 MiB, 100 %
2026/09/06 23:51:05.635, 109.84 W, 12579 MiB, 100 %
2026/09/06 23:51:05.835, 108.69 W, 519 MiB, 20 %
2026/09/06 23:51:06.044, 108.69 W, 519 MiB, 20 %
2026/09/06 23:51:06.244, 108.69 W, 15 MiB, 20 %
2026/09/06 23:51:06.445, 102.08 W, 15 MiB, 20 %
