timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:55:27.758, 13.39 W, 15 MiB, 0 %
2026/09/06 23:55:27.967, 13.39 W, 15 MiB, 0 %
2026/09/06 23:55:28.167, 13.39 W, 15 MiB, 0 %
2026/09/06 23:55:28.368, 14.48 W, 35 MiB, 0 %
2026/09/06 23:55:28.569, 14.48 W, 521 MiB, 0 %
2026/09/06 23:55:28.769, 14.48 W, 521 MiB, 0 %
2026/09/06 23:55:28.969, 26.28 W, 521 MiB, 0 %
2026/09/06 23:55:29.169, 26.28 W, 521 MiB, 0 %
2026/09/06 23:55:29.370, 48.20 W, 521 MiB, 0 %
2026/09/06 23:55:29.570, 48.20 W, 521 MiB, 0 %
2026/09/06 23:55:29.770, 48.20 W, 521 MiB, 0 %
2026/09/06 23:55:29.971, 57.90 W, 521 MiB, 0 %
2026/09/06 23:55:30.171, 57.90 W, 521 MiB, 0 %
2026/09/06 23:55:30.371, 58.14 W, 521 MiB, 0 %
2026/09/06 23:55:30.571, 58.14 W, 521 MiB, 0 %
2026/09/06 23:55:30.772, 58.14 W, 521 MiB, 0 %
2026/09/06 23:55:30.972, 58.30 W, 521 MiB, 0 %
2026/09/06 23:55:31.172, 58.30 W, 521 MiB, 0 %
2026/09/06 23:55:31.372, 58.36 W, 521 MiB, 0 %
2026/09/06 23:55:31.572, 58.36 W, 521 MiB, 0 %
2026/09/06 23:55:31.773, 58.36 W, 521 MiB, 0 %
2026/09/06 23:55:31.973, 58.24 W, 521 MiB, 0 %
2026/09/06 23:55:32.173, 58.24 W, 521 MiB, 0 %
2026/09/06 23:55:32.374, 58.32 W, 521 MiB, 0 %
2026/09/06 23:55:32.574, 58.32 W, 521 MiB, 0 %
2026/09/06 23:55:32.774, 58.32 W, 521 MiB, 0 %
2026/09/06 23:55:32.974, 58.43 W, 521 MiB, 0 %
2026/09/06 23:55:33.175, 58.43 W, 521 MiB, 0 %
2026/09/06 23:55:33.375, 58.47 W, 521 MiB, 0 %
2026/09/06 23:55:33.575, 58.47 W, 521 MiB, 0 %
2026/09/06 23:55:33.775, 58.47 W, 521 MiB, 0 %
2026/09/06 23:55:33.975, 58.61 W, 521 MiB, 0 %
2026/09/06 23:55:34.176, 58.61 W, 521 MiB, 0 %
2026/09/06 23:55:34.376, 58.60 W, 521 MiB, 0 %
2026/09/06 23:55:34.576, 58.60 W, 521 MiB, 0 %
2026/09/06 23:55:34.777, 58.60 W, 6025 MiB, 0 %
2026/09/06 23:55:34.977, 68.42 W, 13321 MiB, 100 %
2026/09/06 23:55:35.177, 68.42 W, 20489 MiB, 100 %
2026/09/06 23:55:35.377, 98.17 W, 27785 MiB, 100 %
2026/09/06 23:55:35.577, 98.17 W, 32107 MiB, 100 %
2026/09/06 23:55:35.778, 98.17 W, 32107 MiB, 100 %
2026/09/06 23:55:35.978, 123.67 W, 32107 MiB, 100 %
2026/09/06 23:55:36.178, 123.67 W, 32107 MiB, 100 %
2026/09/06 23:55:36.378, 123.59 W, 32107 MiB, 100 %
2026/09/06 23:55:36.578, 123.59 W, 32107 MiB, 100 %
2026/09/06 23:55:36.779, 123.59 W, 32107 MiB, 100 %
2026/09/06 23:55:36.979, 123.84 W, 32107 MiB, 100 %
2026/09/06 23:55:37.179, 123.84 W, 32107 MiB, 100 %
2026/09/06 23:55:37.379, 123.46 W, 32107 MiB, 100 %
2026/09/06 23:55:37.579, 123.46 W, 32107 MiB, 100 %
2026/09/06 23:55:37.779, 123.46 W, 32107 MiB, 100 %
2026/09/06 23:55:37.980, 122.38 W, 32107 MiB, 100 %
2026/09/06 23:55:38.180, 122.38 W, 32107 MiB, 100 %
