setting,shape,cta_blocks,work,total_threads,block,order,arm,run_id,application_exit,loader_exit,elapsed_ms,warmup,launches,logical_lane_encounters,automatic_admitted,module_loaded,map_key0,source
blocks-b2048-w128,128,2048,128,262144,1,2,off,91201,0,0,2.101439950,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-01-order-02-off
blocks-b2048-w128,128,2048,128,262144,2,1,off,91202,0,0,2.099648000,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-02-order-01-off
blocks-b2048-w128,128,2048,128,262144,2,2,native,91202,0,,1.317407970,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-02-order-02-native
blocks-b2048-w128,128,2048,128,262144,3,1,native,91203,0,,1.316768050,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-03-order-01-native
blocks-b2048-w128,128,2048,128,262144,3,2,off,91203,0,0,2.101759910,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-03-order-02-off
blocks-b2048-w128,128,2048,128,262144,4,1,off,91204,0,0,2.100287910,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-04-order-01-off
blocks-b2048-w128,128,2048,128,262144,4,2,native,91204,0,,1.318112020,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-04-order-02-native
blocks-b2048-w128,128,2048,128,262144,5,1,native,91205,0,,1.317664030,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-05-order-01-native
blocks-b2048-w128,128,2048,128,262144,5,2,off,91205,0,0,2.100287910,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-05-order-02-off
blocks-b2048-w128,128,2048,128,262144,6,1,off,91206,0,0,2.100192070,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-06-order-01-off
blocks-b2048-w128,128,2048,128,262144,6,2,native,91206,0,,1.316768050,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-06-order-02-native
blocks-b2048-w128,128,2048,128,262144,7,1,native,91207,0,,1.317216040,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-07-order-01-native
blocks-b2048-w128,128,2048,128,262144,7,2,off,91207,0,0,2.099711890,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-07-order-02-off
blocks-b2048-w128,128,2048,128,262144,8,1,off,91208,0,0,2.097759960,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-08-order-01-off
blocks-b2048-w128,128,2048,128,262144,8,2,native,91208,0,,1.316704030,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-08-order-02-native
blocks-b2048-w128,128,2048,128,262144,9,1,native,91209,0,,1.317792060,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-09-order-01-native
blocks-b2048-w128,128,2048,128,262144,9,2,off,91209,0,0,2.099744080,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-09-order-02-off
blocks-b2048-w128,128,2048,128,262144,10,1,off,91210,0,0,2.097984080,8,128,33554432,false,true,true,sweep-blocks-b2048-w128-block-10-order-01-off
blocks-b2048-w128,128,2048,128,262144,10,2,native,91210,0,,1.316447970,8,128,33554432,false,false,false,sweep-blocks-b2048-w128-block-10-order-02-native
blocks-b8192-w128,128,8192,128,1048576,1,1,native,91301,0,,4.454944130,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-01-order-01-native
blocks-b8192-w128,128,8192,128,1048576,1,2,off,91301,0,0,8.386752130,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-01-order-02-off
blocks-b8192-w128,128,8192,128,1048576,2,1,off,91302,0,0,8.390975950,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-02-order-01-off
blocks-b8192-w128,128,8192,128,1048576,2,2,native,91302,0,,4.453663830,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-02-order-02-native
blocks-b8192-w128,128,8192,128,1048576,3,1,native,91303,0,,4.453855990,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-03-order-01-native
blocks-b8192-w128,128,8192,128,1048576,3,2,off,91303,0,0,8.391584400,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-03-order-02-off
blocks-b8192-w128,128,8192,128,1048576,4,1,off,91304,0,0,8.392992020,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-04-order-01-off
blocks-b8192-w128,128,8192,128,1048576,4,2,native,91304,0,,4.456287860,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-04-order-02-native
blocks-b8192-w128,128,8192,128,1048576,5,1,native,91305,0,,4.454976080,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-05-order-01-native
blocks-b8192-w128,128,8192,128,1048576,5,2,off,91305,0,0,8.391455650,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-05-order-02-off
blocks-b8192-w128,128,8192,128,1048576,6,1,off,91306,0,0,8.388735770,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-06-order-01-off
blocks-b8192-w128,128,8192,128,1048576,6,2,native,91306,0,,4.454400060,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-06-order-02-native
blocks-b8192-w128,128,8192,128,1048576,7,1,native,91307,0,,4.454944130,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-07-order-01-native
blocks-b8192-w128,128,8192,128,1048576,7,2,off,91307,0,0,8.389280320,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-07-order-02-off
blocks-b8192-w128,128,8192,128,1048576,8,1,off,91308,0,0,8.388480190,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-08-order-01-off
blocks-b8192-w128,128,8192,128,1048576,8,2,native,91308,0,,4.454207900,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-08-order-02-native
blocks-b8192-w128,128,8192,128,1048576,9,1,native,91309,0,,4.455743790,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-09-order-01-native
blocks-b8192-w128,128,8192,128,1048576,9,2,off,91309,0,0,8.392895700,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-09-order-02-off
blocks-b8192-w128,128,8192,128,1048576,10,1,off,91310,0,0,8.392767910,8,128,134217728,false,true,true,sweep-blocks-b8192-w128-block-10-order-01-off
blocks-b8192-w128,128,8192,128,1048576,10,2,native,91310,0,,4.453184130,8,128,134217728,false,false,false,sweep-blocks-b8192-w128-block-10-order-02-native
