shape	block	order	arm	run_id	setting_index	blocks	work
128	1	1	native	91001	0	128	128
128	1	2	off	91001	0	128	128
128	2	1	off	91002	0	128	128
128	2	2	native	91002	0	128	128
128	3	1	native	91003	0	128	128
128	3	2	off	91003	0	128	128
128	4	1	off	91004	0	128	128
128	4	2	native	91004	0	128	128
128	5	1	native	91005	0	128	128
128	5	2	off	91005	0	128	128
128	6	1	off	91006	0	128	128
128	6	2	native	91006	0	128	128
128	7	1	native	91007	0	128	128
128	7	2	off	91007	0	128	128
128	8	1	off	91008	0	128	128
128	8	2	native	91008	0	128	128
128	9	1	native	91009	0	128	128
128	9	2	off	91009	0	128	128
128	10	1	off	91010	0	128	128
128	10	2	native	91010	0	128	128
128	1	1	native	91101	1	512	128
128	1	2	off	91101	1	512	128
128	2	1	off	91102	1	512	128
128	2	2	native	91102	1	512	128
128	3	1	native	91103	1	512	128
128	3	2	off	91103	1	512	128
128	4	1	off	91104	1	512	128
128	4	2	native	91104	1	512	128
128	5	1	native	91105	1	512	128
128	5	2	off	91105	1	512	128
128	6	1	off	91106	1	512	128
128	6	2	native	91106	1	512	128
128	7	1	native	91107	1	512	128
128	7	2	off	91107	1	512	128
128	8	1	off	91108	1	512	128
128	8	2	native	91108	1	512	128
128	9	1	native	91109	1	512	128
128	9	2	off	91109	1	512	128
128	10	1	off	91110	1	512	128
128	10	2	native	91110	1	512	128
128	1	1	native	91201	2	2048	128
128	1	2	off	91201	2	2048	128
128	2	1	off	91202	2	2048	128
128	2	2	native	91202	2	2048	128
128	3	1	native	91203	2	2048	128
128	3	2	off	91203	2	2048	128
128	4	1	off	91204	2	2048	128
128	4	2	native	91204	2	2048	128
128	5	1	native	91205	2	2048	128
128	5	2	off	91205	2	2048	128
128	6	1	off	91206	2	2048	128
128	6	2	native	91206	2	2048	128
128	7	1	native	91207	2	2048	128
128	7	2	off	91207	2	2048	128
128	8	1	off	91208	2	2048	128
128	8	2	native	91208	2	2048	128
128	9	1	native	91209	2	2048	128
128	9	2	off	91209	2	2048	128
128	10	1	off	91210	2	2048	128
128	10	2	native	91210	2	2048	128
128	1	1	native	91301	3	8192	128
128	1	2	off	91301	3	8192	128
128	2	1	off	91302	3	8192	128
128	2	2	native	91302	3	8192	128
128	3	1	native	91303	3	8192	128
128	3	2	off	91303	3	8192	128
128	4	1	off	91304	3	8192	128
128	4	2	native	91304	3	8192	128
128	5	1	native	91305	3	8192	128
128	5	2	off	91305	3	8192	128
128	6	1	off	91306	3	8192	128
128	6	2	native	91306	3	8192	128
128	7	1	native	91307	3	8192	128
128	7	2	off	91307	3	8192	128
128	8	1	off	91308	3	8192	128
128	8	2	native	91308	3	8192	128
128	9	1	native	91309	3	8192	128
128	9	2	off	91309	3	8192	128
128	10	1	off	91310	3	8192	128
128	10	2	native	91310	3	8192	128
