config,valid_blocks,attempts,pp_tok_s_geomean
baseline,10,10,38045.26787888011
gpubpf_kernelretsnoop,0,10,
nvbit_kernelretsnoop,10,10,144.30119144311627
gpubpf_threadhist,0,10,
nvbit_threadhist,10,10,34141.821390468
