config,valid_blocks,attempts,pp_tok_s_geomean
baseline,1,1,7074.943996999999
gpubpf_kernelretsnoop,1,1,131.230887
nvbit_kernelretsnoop,1,1,132.66218199999997
gpubpf_threadhist,1,1,5464.883087999995
nvbit_threadhist,1,1,6663.094969999997
