block,arm,high_pid,low_pid,high_latency_s,low_latency_s,high_median_ms,low_median_ms,high_bw_gbps,low_bw_gbps,high_rc,low_rc,high_timeout,low_timeout,sched_meta,mem_meta,notes
0,baseline,1341183,1341184,0.020442,0.001503,,,,,1,1,0,0,n/a,n/a,
0,memory_only,1341212,1341213,0.020424,0.001697,,,,,1,1,0,0,n/a,missing,
0,sched_only,1341251,1341252,0.020285,0.001592,,,,,1,1,0,0,missing,n/a,
0,combined,1341299,1341300,0.020445,0.001968,,,,,1,1,0,0,missing,missing,
1,memory_only,1341386,1341387,0.020334,0.003380,,,,,1,1,0,0,n/a,missing,
1,sched_only,1341422,1341423,0.020422,0.003516,,,,,1,1,0,0,missing,n/a,
1,combined,1341465,1341466,0.020380,0.001634,,,,,1,1,0,0,missing,missing,
1,baseline,1341525,1341526,0.020323,0.001441,,,,,1,1,0,0,n/a,n/a,
2,sched_only,1341541,1341542,0.020364,0.003576,,,,,1,1,0,0,missing,n/a,
2,combined,1341614,1341615,0.020572,0.003770,,,,,1,1,0,0,missing,missing,
2,baseline,1341820,1341821,0.020351,0.001600,,,,,1,1,0,0,n/a,n/a,
2,memory_only,1341834,1341835,0.020437,0.003716,,,,,1,1,0,0,n/a,missing,
3,combined,1341875,1341876,0.020309,0.003467,,,,,1,1,0,0,missing,missing,
3,baseline,1341921,1341922,0.020383,0.003525,,,,,1,1,0,0,n/a,n/a,
3,memory_only,1341935,1341936,0.020374,0.003471,,,,,1,1,0,0,n/a,missing,
3,sched_only,1342006,1342007,0.020448,0.003469,,,,,1,1,0,0,missing,n/a,
4,baseline,1342174,1342175,0.020525,0.003556,,,,,1,1,0,0,n/a,n/a,
4,memory_only,1342208,1342209,0.020258,0.015483,,,,,1,1,0,0,n/a,missing,
4,sched_only,1342479,1342480,0.020532,0.001856,,,,,1,1,0,0,missing,n/a,
4,combined,1342509,1342510,0.020366,0.001572,,,,,1,1,0,0,missing,missing,
