blocks,threads_per_block,work,pairs,native_ms,off_ms,overhead_pct,ci95_low,ci95_high,added_us_per_launch
128,128,0,10,0.259903997,0.524112016,101.60672586313763,99.7557565845397,110.86147620732345,2.070125078125
512,128,0,10,0.2600000055,0.5239519775,101.39691423419211,98.30591487920837,108.94950624761752,2.05962487890625
2048,128,0,10,0.2788159995,1.0564799900000001,279.29265190431875,276.4272062468843,282.9803494208287,6.085000105468749
8192,128,0,10,0.78846398,3.545840025,349.5243514764644,345.48855630743134,352.16798310341557,21.54850028515625
128,128,128,10,0.524447978,0.5448480250000001,3.8676577739492735,3.331769876539481,4.048165447612185,0.15850016015625046
512,128,128,10,0.5346079770000001,0.7921599745000001,48.35637402705557,47.757105620359354,48.61145803853895,2.0203748710937504
2048,128,128,10,1.3169920450000001,2.0999680749999996,59.386001121656264,59.34062341681703,59.50189159200329,6.112249531250001
8192,128,128,10,4.454672095,8.3912158,88.35085461888255,88.32051021194482,88.40613639220271,30.754623945312495
128,128,1024,10,1.577232,1.8395039450000001,16.628621791304667,16.609005687075175,16.663959851373853,2.0492500781249996
512,128,1024,10,3.145744085,3.387184025,7.671975880648885,7.527151181566261,7.812040046445934,1.8848749218749998
2048,128,1024,10,8.91939211,9.88199997,10.782170393207169,10.49244411138055,11.042901745350854,7.513999960937504
8192,128,1024,10,32.2536812,33.5398235,3.984974995659274,3.9757023927565083,4.002572027795148,10.041624218750016
