block	order	arm	run_id
1	1	noop	1
1	2	device_lookup	1
1	3	host_update	1
1	4	native	1
1	5	host_lookup	1
1	6	device_update	1
2	1	device_lookup	2
2	2	host_update	2
2	3	native	2
2	4	host_lookup	2
2	5	device_update	2
2	6	noop	2
3	1	host_update	3
3	2	native	3
3	3	host_lookup	3
3	4	device_update	3
3	5	noop	3
3	6	device_lookup	3
4	1	native	4
4	2	host_lookup	4
4	3	device_update	4
4	4	noop	4
4	5	device_lookup	4
4	6	host_update	4
5	1	host_lookup	5
5	2	device_update	5
5	3	noop	5
5	4	device_lookup	5
5	5	host_update	5
5	6	native	5
6	1	device_update	6
6	2	noop	6
6	3	device_lookup	6
6	4	host_update	6
6	5	native	6
6	6	host_lookup	6
7	1	device_update	7
7	2	host_lookup	7
7	3	native	7
7	4	host_update	7
7	5	device_lookup	7
7	6	noop	7
8	1	host_lookup	8
8	2	native	8
8	3	host_update	8
8	4	device_lookup	8
8	5	noop	8
8	6	device_update	8
9	1	native	9
9	2	host_update	9
9	3	device_lookup	9
9	4	noop	9
9	5	device_update	9
9	6	host_lookup	9
10	1	host_update	10
10	2	device_lookup	10
10	3	noop	10
10	4	device_update	10
10	5	host_lookup	10
10	6	native	10
11	1	device_lookup	11
11	2	noop	11
11	3	device_update	11
11	4	host_lookup	11
11	5	native	11
11	6	host_update	11
12	1	noop	12
12	2	device_update	12
12	3	host_lookup	12
12	4	native	12
12	5	host_update	12
12	6	device_lookup	12
