timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:52:45.713, 11.64 W, 15 MiB, 0 %
2026/09/06 23:52:45.921, 11.64 W, 15 MiB, 0 %
2026/09/06 23:52:46.122, 11.64 W, 15 MiB, 0 %
2026/09/06 23:52:46.322, 12.26 W, 35 MiB, 0 %
2026/09/06 23:52:46.523, 12.26 W, 521 MiB, 0 %
2026/09/06 23:52:46.724, 12.26 W, 521 MiB, 0 %
2026/09/06 23:52:46.924, 23.87 W, 521 MiB, 0 %
2026/09/06 23:52:47.124, 23.87 W, 521 MiB, 0 %
2026/09/06 23:52:47.324, 49.35 W, 521 MiB, 0 %
2026/09/06 23:52:47.524, 49.35 W, 521 MiB, 0 %
2026/09/06 23:52:47.725, 49.35 W, 521 MiB, 0 %
2026/09/06 23:52:47.925, 55.64 W, 521 MiB, 0 %
2026/09/06 23:52:48.125, 55.64 W, 521 MiB, 0 %
2026/09/06 23:52:48.326, 55.69 W, 521 MiB, 0 %
2026/09/06 23:52:48.526, 55.69 W, 521 MiB, 0 %
2026/09/06 23:52:48.726, 55.69 W, 521 MiB, 0 %
2026/09/06 23:52:48.926, 55.63 W, 521 MiB, 0 %
2026/09/06 23:52:49.126, 55.63 W, 521 MiB, 0 %
2026/09/06 23:52:49.327, 55.63 W, 521 MiB, 0 %
2026/09/06 23:52:49.527, 55.63 W, 521 MiB, 0 %
2026/09/06 23:52:49.727, 55.63 W, 521 MiB, 0 %
2026/09/06 23:52:49.927, 55.66 W, 521 MiB, 0 %
2026/09/06 23:52:50.128, 55.66 W, 521 MiB, 0 %
2026/09/06 23:52:50.328, 55.58 W, 521 MiB, 0 %
2026/09/06 23:52:50.528, 55.58 W, 521 MiB, 0 %
2026/09/06 23:52:50.728, 55.58 W, 521 MiB, 0 %
2026/09/06 23:52:50.928, 55.53 W, 521 MiB, 0 %
2026/09/06 23:52:51.129, 55.53 W, 521 MiB, 0 %
2026/09/06 23:52:51.329, 55.52 W, 521 MiB, 0 %
2026/09/06 23:52:51.529, 55.52 W, 521 MiB, 0 %
2026/09/06 23:52:51.729, 55.52 W, 521 MiB, 0 %
2026/09/06 23:52:51.929, 55.35 W, 521 MiB, 0 %
2026/09/06 23:52:52.130, 55.35 W, 521 MiB, 0 %
