repeat,arm,elapsed_ms,source
repeat-01,baseline_gpu,0.336521,repeat-01/client.log
repeat-01,register,0.16834,repeat-01/client.log
repeat-01,offload1,269.029542,repeat-01/client.log
repeat-01,cpu_restore,179.71361,repeat-01/client.log
repeat-01,offload2_release,4.520276,repeat-01/client.log
repeat-01,gpu_restore,182.431548,repeat-01/client.log
repeat-01,steady_gpu,5.69568,repeat-01/client.log
repeat-02,baseline_gpu,0.341498,repeat-02/client.log
repeat-02,register,0.173288,repeat-02/client.log
repeat-02,offload1,278.29903,repeat-02/client.log
repeat-02,cpu_restore,169.819063,repeat-02/client.log
repeat-02,offload2_release,3.310861,repeat-02/client.log
repeat-02,gpu_restore,177.215014,repeat-02/client.log
repeat-02,steady_gpu,6.004459,repeat-02/client.log
repeat-03,baseline_gpu,0.335135,repeat-03/client.log
repeat-03,register,0.169129,repeat-03/client.log
repeat-03,offload1,284.960005,repeat-03/client.log
repeat-03,cpu_restore,186.323525,repeat-03/client.log
repeat-03,offload2_release,2.868923,repeat-03/client.log
repeat-03,gpu_restore,170.601143,repeat-03/client.log
repeat-03,steady_gpu,5.341188,repeat-03/client.log
repeat-04,baseline_gpu,0.339407,repeat-04/client.log
repeat-04,register,0.175104,repeat-04/client.log
repeat-04,offload1,288.333402,repeat-04/client.log
repeat-04,cpu_restore,167.485552,repeat-04/client.log
repeat-04,offload2_release,2.606264,repeat-04/client.log
repeat-04,gpu_restore,170.443352,repeat-04/client.log
repeat-04,steady_gpu,5.407625,repeat-04/client.log
repeat-05,baseline_gpu,0.333194,repeat-05/client.log
repeat-05,register,0.172915,repeat-05/client.log
repeat-05,offload1,273.715283,repeat-05/client.log
repeat-05,cpu_restore,151.991158,repeat-05/client.log
repeat-05,offload2_release,4.493602,repeat-05/client.log
repeat-05,gpu_restore,162.071953,repeat-05/client.log
repeat-05,steady_gpu,5.356462,repeat-05/client.log
