module	bytes	version	vermagic	relevant_defined_symbols
nvidia.ko	30125152	575.57.08	6.15.11-061511-generic SMP preempt mod_unload modversions 	23
nvidia-uvm.ko	61919280	575.57.08	6.15.11-061511-generic SMP preempt mod_unload modversions 	16
nvidia-modeset.ko	3898904	575.57.08	6.15.11-061511-generic SMP preempt mod_unload modversions 	0
nvidia-drm.ko	5444696	575.57.08	6.15.11-061511-generic SMP preempt mod_unload modversions 	0
nvidia-peermem.ko	394992	575.57.08	6.15.11-061511-generic SMP preempt mod_unload modversions 	0
