key	value
kernel	Linux 6.15.11-061511-generic x86_64 GNU/Linux
uid	1000
cpu_model	Intel(R) Core(TM) Ultra 9 285K
cc	cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
ptrace_scope	1
cuda_attach_build_option	OFF
target_ptrace_opt_in	PR_SET_PTRACER_ANY
