component	ref	revision_or_release	source
bpftime	refs/heads/review/pr-253-fix	d6316fa73edaac4fdfe21b89d4470da6cd9b8ae8	/home/yunwei37/workspace/gpu/bpftime
driver-local	refs/heads/test-sched	6a5b3bb5857e5e2890559750f51e0a0e5834d09d	/home/yunwei37/workspace/gpu/gpu_ext-kernel-575
driver-reference	refs/tags/575.57.08	575.57.08	https://github.com/NVIDIA/open-gpu-kernel-modules/archive/refs/tags/575.57.08.tar.gz
