artifact	bytes	elf_type	machine
tools/cli/bpftime	135520680	DYN (Position-Independent Executable file)	Advanced Micro Devices X86-64
runtime/agent/libbpftime-agent.so	183551744	DYN (Shared object file)	Advanced Micro Devices X86-64
runtime/syscall-server/libbpftime-syscall-server.so	157073696	DYN (Shared object file)	Advanced Micro Devices X86-64
