component	path	bytes	physical_lines
bpftime	attach/nv_attach_impl/nv_attach_impl.cpp	61459	2033
bpftime	attach/nv_attach_impl/ptx_compiler/ptx_compiler.cpp	3566	140
bpftime	benchmark/gpu/nvbit/nvbit_vec_add.cu	4282	124
bpftime	benchmark/gpu/nvbit/nvbit_timing_funcs.cu	1193	29
bpftime	tools/cli/main.cpp	39912	1447
bpftime	runtime/agent/agent.cpp	28113	1030
