class	path	local_physical_lines	local_nonblank_lines	added_lines	deleted_lines
added	kernel-open/common/inc/nv-gpreempt-transport.h	67	57	67	0
added	kernel-open/common/inc/nv-gpu-rpc-diagnostic.h	30	28	30	0
added	kernel-open/common/inc/nv-gpu-sched-init-diagnostic.h	72	64	72	0
added	kernel-open/common/inc/nv-gpu-timeslice-control.h	67	62	67	0
added	kernel-open/common/inc/nv-gpu-transition-validator.h	529	439	529	0
added	kernel-open/nvidia-uvm/uvm_bpf_struct_ops.c	459	388	459	0
added	kernel-open/nvidia-uvm/uvm_bpf_struct_ops.h	89	75	89	0
added	kernel-open/nvidia/nv-gpu-sched-hooks.c	558	485	558	0
added	kernel-open/nvidia/nv-gpu-sched-hooks.h	146	126	146	0
modified	kernel-open/nvidia-uvm/nvidia-uvm-sources.Kbuild	131	130	1	0
modified	kernel-open/nvidia-uvm/uvm.c	1273	1063	17	0
modified	kernel-open/nvidia-uvm/uvm_migrate.c	1249	1057	42	0
modified	kernel-open/nvidia-uvm/uvm_migrate.h	29	23	4	0
modified	kernel-open/nvidia-uvm/uvm_perf_prefetch.c	643	537	118	29
modified	kernel-open/nvidia-uvm/uvm_pmm_gpu.c	4216	3415	290	20
modified	kernel-open/nvidia-uvm/uvm_pmm_gpu.h	698	579	53	0
modified	kernel-open/nvidia/nv.c	6023	5014	13	0
modified	kernel-open/nvidia/nvidia-sources.Kbuild	63	62	1	0
