route	repetition	route_to_ready_ms	command_ms	target_alive	before_agent_mapping	after_agent_or_frida_mapping	agent_named	bpftime_used	ipc_socket	command_status
preload	1	6.523	13.052	1	0	5	1	1	1	0
attach	1	15.561	17.354	1	0	5	0	1	1	0
preload	2	6.801	12.813	1	0	5	1	1	1	0
attach	2	14.712	66.922	1	0	5	0	1	1	0
preload	3	6.896	13.961	1	0	5	1	1	1	0
attach	3	13.226	65.903	1	0	5	0	1	1	0
preload	4	6.844	12.799	1	0	5	1	1	1	0
attach	4	15.210	16.782	1	0	5	0	1	1	0
preload	5	7.385	13.449	1	0	5	1	1	1	0
attach	5	14.475	66.606	1	0	5	0	1	1	0
