block	order	arm	run_id
1	1	host_update	1
1	2	rpc_lookup	1
1	3	host_lookup	1
1	4	device_lookup	1
1	5	noop	1
1	6	native	1
1	7	device_update	1
1	8	rpc_update	1
2	1	rpc_lookup	2
2	2	host_lookup	2
2	3	device_lookup	2
2	4	noop	2
2	5	native	2
2	6	device_update	2
2	7	rpc_update	2
2	8	host_update	2
3	1	host_lookup	3
3	2	device_lookup	3
3	3	noop	3
3	4	native	3
3	5	device_update	3
3	6	rpc_update	3
3	7	host_update	3
3	8	rpc_lookup	3
4	1	device_lookup	4
4	2	noop	4
4	3	native	4
4	4	device_update	4
4	5	rpc_update	4
4	6	host_update	4
4	7	rpc_lookup	4
4	8	host_lookup	4
5	1	noop	5
5	2	native	5
5	3	device_update	5
5	4	rpc_update	5
5	5	host_update	5
5	6	rpc_lookup	5
5	7	host_lookup	5
5	8	device_lookup	5
6	1	native	6
6	2	device_update	6
6	3	rpc_update	6
6	4	host_update	6
6	5	rpc_lookup	6
6	6	host_lookup	6
6	7	device_lookup	6
6	8	noop	6
7	1	device_update	7
7	2	rpc_update	7
7	3	host_update	7
7	4	rpc_lookup	7
7	5	host_lookup	7
7	6	device_lookup	7
7	7	noop	7
7	8	native	7
8	1	rpc_update	8
8	2	host_update	8
8	3	rpc_lookup	8
8	4	host_lookup	8
8	5	device_lookup	8
8	6	noop	8
8	7	native	8
8	8	device_update	8
9	1	rpc_update	9
9	2	device_update	9
9	3	native	9
9	4	noop	9
9	5	device_lookup	9
9	6	host_lookup	9
9	7	rpc_lookup	9
9	8	host_update	9
10	1	device_update	10
10	2	native	10
10	3	noop	10
10	4	device_lookup	10
10	5	host_lookup	10
10	6	rpc_lookup	10
10	7	host_update	10
10	8	rpc_update	10
11	1	native	11
11	2	noop	11
11	3	device_lookup	11
11	4	host_lookup	11
11	5	rpc_lookup	11
11	6	host_update	11
11	7	rpc_update	11
11	8	device_update	11
12	1	noop	12
12	2	device_lookup	12
12	3	host_lookup	12
12	4	rpc_lookup	12
12	5	host_update	12
12	6	rpc_update	12
12	7	device_update	12
12	8	native	12
13	1	device_lookup	13
13	2	host_lookup	13
13	3	rpc_lookup	13
13	4	host_update	13
13	5	rpc_update	13
13	6	device_update	13
13	7	native	13
13	8	noop	13
14	1	host_lookup	14
14	2	rpc_lookup	14
14	3	host_update	14
14	4	rpc_update	14
14	5	device_update	14
14	6	native	14
14	7	noop	14
14	8	device_lookup	14
15	1	rpc_lookup	15
15	2	host_update	15
15	3	rpc_update	15
15	4	device_update	15
15	5	native	15
15	6	noop	15
15	7	device_lookup	15
15	8	host_lookup	15
16	1	host_update	16
16	2	rpc_update	16
16	3	device_update	16
16	4	native	16
16	5	noop	16
16	6	device_lookup	16
16	7	host_lookup	16
16	8	rpc_lookup	16
