timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:55:18.780, 122.85 W, 32107 MiB, 100 %
2026/09/06 23:55:18.980, 120.79 W, 32107 MiB, 100 %
2026/09/06 23:55:19.180, 120.79 W, 32107 MiB, 100 %
2026/09/06 23:55:19.380, 116.38 W, 32107 MiB, 100 %
2026/09/06 23:55:19.580, 116.38 W, 28625 MiB, 100 %
2026/09/06 23:55:19.781, 116.38 W, 12643 MiB, 100 %
2026/09/06 23:55:19.981, 112.90 W, 519 MiB, 32 %
2026/09/06 23:55:20.181, 112.90 W, 519 MiB, 32 %
2026/09/06 23:55:20.381, 106.35 W, 15 MiB, 32 %
2026/09/06 23:55:20.582, 106.35 W, 15 MiB, 32 %
2026/09/06 23:55:20.782, 106.35 W, 15 MiB, 32 %
2026/09/06 23:55:20.982, 98.42 W, 15 MiB, 0 %
2026/09/06 23:55:21.182, 98.42 W, 15 MiB, 0 %
2026/09/06 23:55:21.383, 93.51 W, 15 MiB, 0 %
2026/09/06 23:55:21.583, 93.51 W, 15 MiB, 0 %
2026/09/06 23:55:21.783, 93.51 W, 15 MiB, 0 %
2026/09/06 23:55:21.983, 93.51 W, 15 MiB, 0 %
2026/09/06 23:55:22.184, 93.51 W, 15 MiB, 0 %
2026/09/06 23:55:22.384, 45.47 W, 15 MiB, 0 %
2026/09/06 23:55:22.584, 45.47 W, 15 MiB, 0 %
2026/09/06 23:55:22.785, 45.47 W, 15 MiB, 0 %
2026/09/06 23:55:22.985, 45.47 W, 15 MiB, 0 %
2026/09/06 23:55:23.185, 45.47 W, 15 MiB, 0 %
2026/09/06 23:55:23.385, 38.93 W, 15 MiB, 0 %
2026/09/06 23:55:23.585, 38.93 W, 15 MiB, 0 %
2026/09/06 23:55:23.786, 38.93 W, 15 MiB, 0 %
2026/09/06 23:55:23.986, 38.93 W, 15 MiB, 0 %
2026/09/06 23:55:24.186, 38.93 W, 15 MiB, 0 %
2026/09/06 23:55:24.387, 18.07 W, 15 MiB, 0 %
2026/09/06 23:55:24.587, 18.07 W, 15 MiB, 0 %
2026/09/06 23:55:24.787, 18.07 W, 15 MiB, 0 %
