config,valid_blocks,attempts,pp_tok_s_geomean
baseline,1,1,7099.882253
gpubpf_kernelretsnoop,1,1,132.33204399999997
nvbit_kernelretsnoop,1,1,134.90543500000004
gpubpf_threadhist,1,1,5331.841306000002
nvbit_threadhist,1,1,6662.243215
