experiment,policy,ratio,run_id,evidence_class,identity_available,eviction_selected_count,refaulted_block_count,refaulted_bytes,eviction_to_refault_us_mean,interpretation
oversub,custom_no_policy,0.95,20260812T211930Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,0.95,20260812T211956Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,0.95,20260812T212022Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,0.95,20260812T212048Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.05,20260812T214453Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.05,20260812T214710Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.05,20260812T214750Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.05,20260812T214829Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.05,20260812T214909Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,13355,602,1262485504,744495.425320598,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,custom_no_policy,1.10,20260813T103830Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
