source_file,run_id,case,bytes_per_array,cpu_prefetch_to_cpu_ms,cpu_retouch_ms,gpu_prefetch_ms,kernel_after_retouch_ms,correct
256M/demand/demand_20260812T174117Z_r1.jsonl,1786556477952260-127521,demand,268435456,172.282653,6.79313,UNAVAILABLE,241.762299,True
256M/demand/demand_20260812T174117Z_r2.jsonl,1786556479397736-127540,demand,268435456,176.970984,6.838997,UNAVAILABLE,244.225021,True
256M/demand/demand_20260812T174117Z_r3.jsonl,1786556480833206-127558,demand,268435456,172.888165,6.598039,UNAVAILABLE,245.178375,True
256M/demand/demand_20260812T174117Z_r4.jsonl,1786556482259454-127576,demand,268435456,173.895299,7.070807,UNAVAILABLE,242.092026,True
256M/demand/demand_20260812T174117Z_r5.jsonl,1786556483674944-127598,demand,268435456,177.321981,6.762321,UNAVAILABLE,242.073593,True
256M/prefetch/prefetch_20260812T174117Z_r1.jsonl,1786556485097011-127616,prefetch,268435456,172.374989,6.582199,34.778405,1.007616,True
256M/prefetch/prefetch_20260812T174117Z_r2.jsonl,1786556486301947-127635,prefetch,268435456,176.435668,6.790374,34.771321,1.00864,True
256M/prefetch/prefetch_20260812T174117Z_r3.jsonl,1786556487517119-127654,prefetch,268435456,172.596731,6.651941,34.966673,1.006592,True
256M/prefetch/prefetch_20260812T174117Z_r4.jsonl,1786556488723367-127673,prefetch,268435456,173.221168,6.846351,34.963787,1.007616,True
256M/prefetch/prefetch_20260812T174117Z_r5.jsonl,1786556489940834-127692,prefetch,268435456,172.939894,6.600444,34.725173,1.009664,True
1G/demand/demand_20260812T174117Z_r1.jsonl,1786556491204701-127719,demand,1073741824,690.681149,27.225591,UNAVAILABLE,918.711304,True
1G/demand/demand_20260812T174117Z_r2.jsonl,1786556495625250-127739,demand,1073741824,691.127529,28.000073,UNAVAILABLE,912.270325,True
1G/demand/demand_20260812T174117Z_r3.jsonl,1786556500063306-127760,demand,1073741824,691.085993,27.426623,UNAVAILABLE,904.653809,True
1G/prefetch/prefetch_20260812T174117Z_r1.jsonl,1786556504485806-127778,prefetch,1073741824,697.490036,28.164977,137.210153,4.051968,True
1G/prefetch/prefetch_20260812T174117Z_r2.jsonl,1786556508132130-127797,prefetch,1073741824,696.694055,28.18789,137.003481,4.052992,True
1G/prefetch/prefetch_20260812T174117Z_r3.jsonl,1786556511791376-127816,prefetch,1073741824,694.760892,27.432424,137.069186,4.050944,True
