bytes_per_array,case,metric,evidence_class,count,mean,median,min,max,stdev,p95
268435456,demand,cpu_prefetch_to_cpu_ms,PROGRAM_TIMING,5,174.67181639999998,173.895299,172.282653,177.321981,2.3346325942804746,177.321981
268435456,demand,cpu_retouch_ms,PROGRAM_TIMING,5,6.8126587999999995,6.79313,6.598039,7.070807,0.17052208114552214,7.070807
268435456,demand,gpu_prefetch_ms,PROGRAM_TIMING,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
268435456,demand,kernel_after_retouch_ms,PROGRAM_TIMING,5,243.0662628,242.092026,241.762299,245.178375,1.536114479577672,245.178375
268435456,prefetch,cpu_prefetch_to_cpu_ms,PROGRAM_TIMING,5,173.51369,172.939894,172.374989,176.435668,1.6650991094876255,176.435668
268435456,prefetch,cpu_retouch_ms,PROGRAM_TIMING,5,6.6942618,6.651941,6.582199,6.846351,0.11781296681477804,6.846351
268435456,prefetch,gpu_prefetch_ms,PROGRAM_TIMING,5,34.841071799999995,34.778405,34.725173,34.966673,0.11517325591994151,34.966673
268435456,prefetch,kernel_after_retouch_ms,PROGRAM_TIMING,5,1.0080256,1.007616,1.006592,1.009664,0.0011675396353014872,1.009664
1073741824,demand,cpu_prefetch_to_cpu_ms,PROGRAM_TIMING,3,690.9648903333333,691.085993,690.681149,691.127529,0.24660326032989222,691.127529
1073741824,demand,cpu_retouch_ms,PROGRAM_TIMING,3,27.550762333333335,27.426623,27.225591,28.000073,0.4018874502162678,28.000073
1073741824,demand,gpu_prefetch_ms,PROGRAM_TIMING,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
1073741824,demand,kernel_after_retouch_ms,PROGRAM_TIMING,3,911.8784793333334,912.270325,904.653809,918.711304,7.036934608806623,918.711304
1073741824,prefetch,cpu_prefetch_to_cpu_ms,PROGRAM_TIMING,3,696.3149943333334,696.694055,694.760892,697.490036,1.4035034680913223,697.490036
1073741824,prefetch,cpu_retouch_ms,PROGRAM_TIMING,3,27.928430333333335,28.164977,27.432424,28.18789,0.4297068342746398,28.18789
1073741824,prefetch,gpu_prefetch_ms,PROGRAM_TIMING,3,137.09427333333335,137.069186,137.003481,137.210153,0.10559526322867346,137.210153
1073741824,prefetch,kernel_after_retouch_ms,PROGRAM_TIMING,3,4.051968,4.051968,4.050944,4.052992,0.0010239999999996918,4.052992
