policy,first_touch_pattern,prefetch_cpu_before_first_touch,evidence_class,elapsed_ms_count,elapsed_ms_mean,elapsed_ms_median,elapsed_ms_stdev,elapsed_ms_p95,elapsed_ms_min,elapsed_ms_max,correctness_pass_rate,minor_faults_mean,major_faults_mean,voluntary_context_switches_mean,involuntary_context_switches_mean,max_rss_kib_mean
custom_no_policy,full,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,353.10512819999997,353.0684655,1.3731062950487951,355.258558,350.772074,355.258558,1.0,7717.2,0.0,58.3,8.7,891920.4
custom_no_policy,full,yes,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,154.1025281,150.710401,15.046098784613996,184.371355,139.74991,184.371355,1.0,5418.3,0.0,58.0,8.5,891941.6
custom_no_policy,page,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,269.4338925,269.7278165,1.2195033885732447,270.939476,267.436508,270.939476,1.0,7716.6,0.0,54.1,6.7,891918.8
prefetch_adaptive_sequential,full,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,340.1520829,340.18064100000004,0.9747861933646341,342.040125,338.774067,342.040125,1.0,6949.4,0.0,59.9,9.3,891956.0
prefetch_adaptive_sequential,full,yes,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,153.9212425,153.789096,7.962426078779947,166.617453,144.8028,166.617453,1.0,5418.3,0.0,60.1,9.4,891966.8
prefetch_adaptive_sequential,page,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,255.94381130000002,255.86535450000002,0.6705769551287839,257.429192,255.162615,257.429192,1.0,6948.6,0.0,53.9,7.4,891896.0
prefetch_always_max,full,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,320.64414750000003,320.794691,1.166150967164606,322.754001,318.591626,322.754001,1.0,5796.7,0.0,58.1,9.7,891906.0
prefetch_always_max,full,yes,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,149.0164552,144.707385,7.483486937545636,161.495063,142.548583,161.495063,1.0,5417.7,0.0,57.7,9.1,891888.4
prefetch_always_max,page,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,237.41019569999997,237.54398550000002,0.6168725603742441,238.191422,236.337096,238.191422,1.0,5796.8,0.0,54.3,5.4,891935.6
prefetch_none,full,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,3018.0942471999997,3017.5065974999998,11.027046324645754,3036.282405,3001.635689,3036.282405,1.0,202020.7,0.0,84.8,23.0,891704.8
prefetch_none,full,yes,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,147.8874564,144.387052,7.918901129022825,159.490968,139.757553,159.490968,1.0,5417.7,0.0,58.1,8.9,891975.2
prefetch_none,page,no,PROGRAM_TIMING+LINUX_RESOURCE_USAGE,10,2927.8309798,2929.198702,19.612711428041475,2957.394414,2897.28235,2957.394414,1.0,202020.7,0.0,79.9,23.3,891804.8
