policy,size,metric,evidence_class,count,mean,median,min,max,stdev,p95,correct_runs,total_runs
custom_no_policy,1G,allocation_ms,PROGRAM_TIMING,5,0.2348102,0.236079,0.225679,0.246709,0.008398373247242599,0.246709,6,6
custom_no_policy,1G,cpu_first_touch_ms,PROGRAM_TIMING,5,1363.5614902,1361.475446,1355.360262,1376.194195,8.478656903732407,1376.194195,6,6
custom_no_policy,1G,kernel_1_demand_ms,PROGRAM_TIMING,5,910.8123535999999,910.266357,908.855286,913.445862,2.086289367874309,913.445862,6,6
custom_no_policy,1G,kernel_1_over_kernel_2,PROGRAM_TIMING,5,226.21191749160403,226.13380545861423,225.6684439955187,226.8082823822464,0.5246549198440978,226.8082823822464,6,6
custom_no_policy,1G,kernel_2_hot_ms,PROGRAM_TIMING,5,4.026368,4.026368,4.025344,4.027392,0.001024000000000136,4.027392,6,6
custom_no_policy,256M,allocation_ms,PROGRAM_TIMING,10,0.23466510000000002,0.235172,0.22113,0.243513,0.006984405398218715,0.243513,14,14
custom_no_policy,256M,cpu_first_touch_ms,PROGRAM_TIMING,10,337.4048354,336.998188,335.8565,340.706438,1.3278351181654189,340.706438,14,14
custom_no_policy,256M,kernel_1_demand_ms,PROGRAM_TIMING,10,240.7309311,240.515587,236.408829,244.564987,2.8887223136633127,244.564987,14,14
custom_no_policy,256M,kernel_1_over_kernel_2,PROGRAM_TIMING,10,242.0631396011689,242.06498185887676,237.03079781346253,246.47367917150413,3.128838650547262,246.47367917150413,14,14
custom_no_policy,256M,kernel_2_hot_ms,PROGRAM_TIMING,10,0.9945088,0.994304,0.991232,0.997376,0.002093016366661075,0.997376,14,14
prefetch_adaptive_sequential,1G,allocation_ms,PROGRAM_TIMING,5,0.23950299999999997,0.237391,0.227632,0.248913,0.009072083029822863,0.248913,6,6
prefetch_adaptive_sequential,1G,cpu_first_touch_ms,PROGRAM_TIMING,5,1332.0419564,1327.516299,1321.101509,1354.845317,13.286525830824004,1354.845317,6,6
prefetch_adaptive_sequential,1G,kernel_1_demand_ms,PROGRAM_TIMING,5,634.3243774,647.125,610.417664,654.848999,21.624271453517927,654.848999,6,6
prefetch_adaptive_sequential,1G,kernel_1_over_kernel_2,PROGRAM_TIMING,5,157.5242231511989,160.5584369442327,151.64360213686086,162.72289455112914,5.28385622605454,162.72289455112914,6,6
prefetch_adaptive_sequential,1G,kernel_2_hot_ms,PROGRAM_TIMING,5,4.0267776,4.025344,4.022272,4.031488,0.004005397957756653,4.031488,6,6
prefetch_adaptive_sequential,256M,allocation_ms,PROGRAM_TIMING,10,0.2375534,0.237311,0.224987,0.256207,0.01023361745751065,0.256207,14,14
prefetch_adaptive_sequential,256M,cpu_first_touch_ms,PROGRAM_TIMING,10,330.4737376,329.716683,327.491123,336.646926,2.773989487383434,336.646926,14,14
prefetch_adaptive_sequential,256M,kernel_1_demand_ms,PROGRAM_TIMING,10,186.2423555,187.3336335,182.215683,189.865982,2.9305743290060664,189.865982,14,14
prefetch_adaptive_sequential,256M,kernel_1_over_kernel_2,PROGRAM_TIMING,10,187.0794701749119,187.7504080212484,183.0709906684028,190.75719963670267,3.0234286665458363,190.75719963670267,14,14
