run_id,source_file,allocation,bytes_per_array,cpu_retouch,gpu_prefetch,cpu_prefetch_before_retouch,kernel_1_ms,kernel_2_ms,kernel_1_over_kernel_2,kernel_3_ms,kernel_4_ms,kernel_3_over_kernel_4,explicit_prefetch_ms,correct
1786552103976662-122287,basic_20260812T162823Z.jsonl,managed,268435456,none,False,False,240.292862,0.995328,241.420780,0.99328,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552105000425-122302,basic_20260812T162823Z.jsonl,managed,268435456,page,False,False,244.42778,0.995328,245.575107,177.139709,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552106381123-122313,basic_20260812T162823Z.jsonl,managed,268435456,page,False,True,242.961411,0.994304,244.353247,178.034683,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552107682947-122324,basic_20260812T162823Z.jsonl,managed,268435456,none,True,False,245.265411,0.99328,246.924745,0.99328,0.991232,1.002066,1.72543,True
1786552108686364-122335,basic_20260812T162823Z.jsonl,device,268435456,none,False,False,1.048928,0.989184,1.060397,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552109376254-122354,basic_20260812T162823Z.jsonl,managed,1073741824,none,False,False,910.858215,4.02944,226.050820,4.02944,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552112209339-122365,basic_20260812T162823Z.jsonl,managed,1073741824,page,False,False,915.559448,4.028416,227.275298,659.634155,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552116552568-122380,basic_20260812T162823Z.jsonl,managed,1073741824,page,False,True,920.677368,4.02944,228.487673,659.008484,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552120557461-122391,basic_20260812T162823Z.jsonl,managed,1073741824,none,True,False,907.170837,4.028416,225.192939,4.02944,4.027392,1.000509,6.535685,True
1786552123408257-122406,basic_20260812T162823Z.jsonl,device,1073741824,none,False,False,4.07072,4.020224,1.012560,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True
1786552126219521-122480,profile_20260812T162845Z.jsonl,managed,268435456,page,True,False,277.957764,0.999712,278.037839,207.981445,1.002368,207.490108,1.833986,True
