policy,run_id,kernel_mode,allocation,h2d_bytes,d2h_bytes,gpu_faults,kernel_1_ms,nsight_schema,evidence_class
custom_no_policy,20260812T211310Z_nsys_r1,read-a,A,268435456,0,4565,145.717117,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211310Z_nsys_r1,read-a,B,0,0,0,145.717117,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211310Z_nsys_r1,read-a,C,0,0,0,145.717117,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211310Z_nsys_r1,read-a,unknown,0,0,0,145.717117,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211322Z_nsys_r1,read-b,A,0,0,0,148.423386,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211322Z_nsys_r1,read-b,B,268435456,0,4478,148.423386,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211322Z_nsys_r1,read-b,C,0,0,0,148.423386,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211322Z_nsys_r1,read-b,unknown,0,0,0,148.423386,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211335Z_nsys_r1,write-c,A,0,0,0,116.786369,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211335Z_nsys_r1,write-c,B,0,0,0,116.786369,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211335Z_nsys_r1,write-c,C,268435456,0,2525,116.786369,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211335Z_nsys_r1,write-c,unknown,0,0,0,116.786369,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211347Z_nsys_r1,vector-add,A,268435456,0,448,332.473572,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211347Z_nsys_r1,vector-add,B,268435456,0,1211,332.473572,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211347Z_nsys_r1,vector-add,C,268435456,0,4205,332.473572,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
custom_no_policy,20260812T211347Z_nsys_r1,vector-add,unknown,0,0,0,332.473572,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211705Z_nsys_r1,read-a,A,268435456,0,3858,101.259743,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211705Z_nsys_r1,read-a,B,0,0,0,101.259743,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211705Z_nsys_r1,read-a,C,0,0,0,101.259743,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211705Z_nsys_r1,read-a,unknown,0,0,0,101.259743,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211719Z_nsys_r1,read-b,A,0,0,0,99.584351,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211719Z_nsys_r1,read-b,B,268435456,0,3662,99.584351,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211719Z_nsys_r1,read-b,C,0,0,0,99.584351,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
prefetch_adaptive_sequential,20260812T211719Z_nsys_r1,read-b,unknown,0,0,0,99.584351,ADDRESS_BEARING_UVM_MEMCPY,NSIGHT_UVM+PROGRAM_ALLOCATION_RANGE
