policy,ratio,phase,evidence_class,count,mean,median,stdev,p95,min,max,correctness_pass_rate
custom_no_policy,0.95,phase_A_first,PROGRAM_TIMING,3,3580.4975586666665,3580.514404,9.46741823981532,3589.956543,3571.021729,3589.956543,1.0
custom_no_policy,0.95,phase_A_reuse,PROGRAM_TIMING,3,34.58867266666667,34.587646,0.003692639886766067,34.59277,34.585602,34.59277,1.0
custom_no_policy,0.95,phase_B_first,PROGRAM_TIMING,3,3601.690999,3595.872314,34.50760894929758,3638.738037,3570.462646,3638.738037,1.0
custom_no_policy,0.95,phase_B_reuse,PROGRAM_TIMING,3,34.722473,34.72179,0.001182990701569268,34.723839,34.72179,34.723839,1.0
custom_no_policy,1.05,phase_A_first,PROGRAM_TIMING,3,3970.842936333333,3972.261963,2.621667145949244,3972.449219,3967.817627,3972.449219,0.75
custom_no_policy,1.05,phase_A_reuse,PROGRAM_TIMING,3,4797.231607666667,4795.393066,7.929567059018997,4805.918945,4790.382812,4805.918945,0.75
custom_no_policy,1.05,phase_B_first,PROGRAM_TIMING,3,4106.669759,4104.419434,4.484640212227052,4111.833984,4103.755859,4111.833984,0.75
custom_no_policy,1.05,phase_B_reuse,PROGRAM_TIMING,3,4815.492838666666,4812.090332,16.221776411285887,4833.145996,4801.242188,4833.145996,0.75
custom_no_policy,1.10,phase_A_first,PROGRAM_TIMING,3,4146.726562333333,4143.915039,4.989850478758786,4152.487793,4143.776855,4152.487793,1.0
custom_no_policy,1.10,phase_A_reuse,PROGRAM_TIMING,3,5034.127278666667,5039.799316,16.451853088272326,5046.992676,5015.589844,5046.992676,1.0
custom_no_policy,1.10,phase_B_first,PROGRAM_TIMING,3,4371.221191333333,4373.019531,6.12159215851992,4376.242188,4364.401855,4376.242188,1.0
custom_no_policy,1.10,phase_B_reuse,PROGRAM_TIMING,3,5007.74056,5002.900391,12.395763744710262,5021.826172,4998.495117,5021.826172,1.0
prefetch_adaptive_sequential,0.95,phase_A_first,PROGRAM_TIMING,3,1999.7020263333334,2045.941772,133.5970233481137,2104.036377,1849.12793,2104.036377,1.0
prefetch_adaptive_sequential,0.95,phase_A_reuse,PROGRAM_TIMING,3,34.60164266666666,34.60096,0.007194332862282023,34.609154,34.594814,34.609154,1.0
prefetch_adaptive_sequential,0.95,phase_B_first,PROGRAM_TIMING,3,1958.3747153333334,1904.90625,117.24670468947781,2092.824463,1877.393433,2092.824463,1.0
