policy,run_id,size,run_kind,evidence_class,workload_pid,prefetch_trace_available,chunk_trace_available,prefetch_callback_count,prefetch_rows_total,pid_attribution,default_action_count,bypass_action_count,enter_loop_action_count,selected_prefetch_pages,selected_prefetch_bytes,max_region_pages_mean,page_index_min,page_index_max,chunk_activate_count,chunk_populate_count,eviction_prepare_count
custom_no_policy,20260812T185332Z_256M_trace_r1,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,134922,True,True,17363,17363,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1626,0
custom_no_policy,20260812T185335Z_256M_trace_r2,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,134961,True,True,17136,17136,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1625,0
custom_no_policy,20260812T185339Z_256M_trace_r3,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135003,True,True,17245,17245,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1616,0
custom_no_policy,20260812T185343Z_256M_nsys_r1,256M,nsys,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135067,True,True,19225,19225,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1570,0
custom_no_policy,20260812T185413Z_1G_trace_r1,1G,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135371,True,True,57562,57562,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,1536,7668,0
prefetch_adaptive_sequential,20260812T190019Z_256M_trace_r1,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,137845,True,True,13463,13463,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1598,0
prefetch_adaptive_sequential,20260812T190023Z_256M_trace_r2,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,137910,True,True,13600,13600,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1701,0
prefetch_adaptive_sequential,20260812T190027Z_256M_trace_r3,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,137961,True,True,13243,13243,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1638,0
prefetch_adaptive_sequential,20260812T190031Z_256M_nsys_r1,256M,nsys,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,138031,True,True,15018,15018,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,1458,0
prefetch_adaptive_sequential,20260812T190102Z_1G_trace_r1,1G,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,138366,True,True,49145,49145,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,1536,6916,0
