timestamp, power.draw [W], memory.used [MiB], utilization.gpu [%]
2026/09/06 23:54:07.332, 14.10 W, 15 MiB, 0 %
2026/09/06 23:54:07.541, 14.10 W, 15 MiB, 0 %
2026/09/06 23:54:07.741, 14.10 W, 15 MiB, 0 %
2026/09/06 23:54:07.943, 14.10 W, 51 MiB, 0 %
2026/09/06 23:54:08.143, 14.10 W, 521 MiB, 0 %
2026/09/06 23:54:08.344, 30.88 W, 521 MiB, 0 %
2026/09/06 23:54:08.544, 30.88 W, 521 MiB, 0 %
2026/09/06 23:54:08.744, 30.88 W, 521 MiB, 0 %
2026/09/06 23:54:08.944, 38.94 W, 521 MiB, 0 %
2026/09/06 23:54:09.145, 38.94 W, 521 MiB, 0 %
2026/09/06 23:54:09.345, 56.59 W, 521 MiB, 0 %
2026/09/06 23:54:09.545, 56.59 W, 521 MiB, 0 %
2026/09/06 23:54:09.746, 56.59 W, 521 MiB, 0 %
2026/09/06 23:54:09.946, 56.56 W, 521 MiB, 0 %
2026/09/06 23:54:10.146, 56.56 W, 521 MiB, 0 %
2026/09/06 23:54:10.346, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:10.547, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:10.747, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:10.947, 56.71 W, 521 MiB, 0 %
2026/09/06 23:54:11.147, 56.71 W, 521 MiB, 0 %
2026/09/06 23:54:11.347, 56.75 W, 521 MiB, 0 %
2026/09/06 23:54:11.548, 56.75 W, 521 MiB, 0 %
2026/09/06 23:54:11.748, 56.75 W, 521 MiB, 0 %
2026/09/06 23:54:11.948, 56.86 W, 521 MiB, 0 %
2026/09/06 23:54:12.148, 56.86 W, 521 MiB, 0 %
2026/09/06 23:54:12.349, 56.91 W, 521 MiB, 0 %
2026/09/06 23:54:12.549, 56.91 W, 521 MiB, 0 %
2026/09/06 23:54:12.749, 56.91 W, 521 MiB, 0 %
2026/09/06 23:54:12.949, 56.81 W, 521 MiB, 0 %
2026/09/06 23:54:13.150, 56.81 W, 521 MiB, 0 %
2026/09/06 23:54:13.350, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:13.550, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:13.750, 56.67 W, 521 MiB, 0 %
2026/09/06 23:54:13.951, 56.72 W, 521 MiB, 0 %
2026/09/06 23:54:14.151, 56.72 W, 521 MiB, 0 %
2026/09/06 23:54:14.351, 60.95 W, 5385 MiB, 0 %
2026/09/06 23:54:14.551, 60.95 W, 12553 MiB, 0 %
2026/09/06 23:54:14.751, 60.95 W, 19849 MiB, 0 %
2026/09/06 23:54:14.951, 91.64 W, 27017 MiB, 100 %
2026/09/06 23:54:15.152, 91.64 W, 32107 MiB, 100 %
2026/09/06 23:54:15.352, 116.51 W, 32107 MiB, 100 %
2026/09/06 23:54:15.552, 116.51 W, 32107 MiB, 100 %
2026/09/06 23:54:15.752, 116.51 W, 32107 MiB, 100 %
2026/09/06 23:54:15.953, 117.74 W, 32107 MiB, 100 %
2026/09/06 23:54:16.153, 117.74 W, 32107 MiB, 100 %
2026/09/06 23:54:16.354, 117.03 W, 32107 MiB, 100 %
2026/09/06 23:54:16.554, 117.03 W, 32107 MiB, 100 %
2026/09/06 23:54:16.754, 117.03 W, 32107 MiB, 100 %
2026/09/06 23:54:16.954, 116.77 W, 32107 MiB, 100 %
2026/09/06 23:54:17.154, 116.77 W, 32107 MiB, 100 %
2026/09/06 23:54:17.355, 116.31 W, 32107 MiB, 100 %
2026/09/06 23:54:17.555, 116.31 W, 32107 MiB, 100 %
2026/09/06 23:54:17.755, 116.31 W, 32107 MiB, 100 %
2026/09/06 23:54:17.955, 113.83 W, 32107 MiB, 100 %
2026/09/06 23:54:18.155, 113.83 W, 32107 MiB, 100 %
2026/09/06 23:54:18.355, 111.56 W, 32107 MiB, 100 %
2026/09/06 23:54:18.556, 111.56 W, 32107 MiB, 100 %
2026/09/06 23:54:18.756, 111.56 W, 32107 MiB, 100 %
2026/09/06 23:54:18.956, 114.56 W, 32107 MiB, 100 %
2026/09/06 23:54:19.156, 114.56 W, 32107 MiB, 100 %
2026/09/06 23:54:19.356, 118.00 W, 32107 MiB, 100 %
2026/09/06 23:54:19.557, 118.00 W, 32107 MiB, 100 %
2026/09/06 23:54:19.757, 118.00 W, 32107 MiB, 100 %
2026/09/06 23:54:19.957, 118.22 W, 32107 MiB, 100 %
2026/09/06 23:54:20.157, 118.22 W, 32107 MiB, 100 %
2026/09/06 23:54:20.357, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:20.557, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:20.757, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:20.957, 118.97 W, 32107 MiB, 100 %
2026/09/06 23:54:21.158, 118.97 W, 32107 MiB, 100 %
2026/09/06 23:54:21.358, 118.13 W, 32107 MiB, 100 %
2026/09/06 23:54:21.558, 118.13 W, 32107 MiB, 100 %
2026/09/06 23:54:21.758, 118.13 W, 32107 MiB, 100 %
2026/09/06 23:54:21.959, 114.95 W, 32107 MiB, 100 %
2026/09/06 23:54:22.159, 114.95 W, 32107 MiB, 100 %
2026/09/06 23:54:22.359, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:54:22.559, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:54:22.759, 112.74 W, 32107 MiB, 100 %
2026/09/06 23:54:22.959, 115.44 W, 32107 MiB, 100 %
2026/09/06 23:54:23.160, 115.44 W, 32107 MiB, 100 %
2026/09/06 23:54:23.360, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:23.561, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:23.761, 118.90 W, 32107 MiB, 100 %
2026/09/06 23:54:23.961, 119.55 W, 32107 MiB, 100 %
2026/09/06 23:54:24.161, 119.55 W, 32107 MiB, 100 %
2026/09/06 23:54:24.361, 119.51 W, 32107 MiB, 100 %
2026/09/06 23:54:24.562, 119.51 W, 32107 MiB, 100 %
2026/09/06 23:54:24.762, 119.51 W, 32107 MiB, 100 %
2026/09/06 23:54:24.962, 118.79 W, 32107 MiB, 100 %
2026/09/06 23:54:25.162, 118.79 W, 32107 MiB, 100 %
2026/09/06 23:54:25.362, 117.98 W, 32107 MiB, 100 %
2026/09/06 23:54:25.562, 117.98 W, 32107 MiB, 100 %
2026/09/06 23:54:25.762, 117.98 W, 32107 MiB, 100 %
2026/09/06 23:54:25.963, 115.12 W, 32107 MiB, 100 %
2026/09/06 23:54:26.163, 115.12 W, 32107 MiB, 100 %
2026/09/06 23:54:26.363, 111.55 W, 23913 MiB, 100 %
2026/09/06 23:54:26.563, 111.55 W, 12653 MiB, 100 %
2026/09/06 23:54:26.763, 111.55 W, 519 MiB, 100 %
2026/09/06 23:54:26.963, 110.18 W, 519 MiB, 3 %
2026/09/06 23:54:27.164, 110.18 W, 15 MiB, 3 %
2026/09/06 23:54:27.365, 101.19 W, 15 MiB, 3 %
2026/09/06 23:54:27.565, 101.19 W, 15 MiB, 3 %
2026/09/06 23:54:27.766, 101.19 W, 15 MiB, 3 %
2026/09/06 23:54:27.966, 92.63 W, 15 MiB, 0 %
2026/09/06 23:54:28.166, 92.63 W, 15 MiB, 0 %
2026/09/06 23:54:28.366, 81.83 W, 15 MiB, 0 %
2026/09/06 23:54:28.566, 81.83 W, 15 MiB, 0 %
2026/09/06 23:54:28.767, 81.83 W, 15 MiB, 0 %
2026/09/06 23:54:28.967, 56.97 W, 15 MiB, 0 %
2026/09/06 23:54:29.167, 56.97 W, 15 MiB, 0 %
2026/09/06 23:54:29.367, 56.97 W, 15 MiB, 0 %
2026/09/06 23:54:29.568, 56.97 W, 15 MiB, 0 %
2026/09/06 23:54:29.768, 56.97 W, 15 MiB, 0 %
2026/09/06 23:54:29.968, 31.39 W, 15 MiB, 0 %
2026/09/06 23:54:30.168, 31.39 W, 15 MiB, 0 %
2026/09/06 23:54:30.368, 31.39 W, 15 MiB, 0 %
2026/09/06 23:54:30.569, 31.39 W, 15 MiB, 0 %
2026/09/06 23:54:30.769, 31.39 W, 15 MiB, 0 %
2026/09/06 23:54:30.969, 27.90 W, 15 MiB, 0 %
