setting,native_ms,off_ms,on_ms,on_off_paired_pct,ci95_low,ci95_high,slower_pairs
blocks-b16-w0,0.259951993,0.338479996,0.523983986,54.762465257,52.715562688,55.320366831,10/10
blocks-b32-w0,0.259584010,0.339295999,0.523872018,54.560026033,52.487684279,55.805770573,10/10
blocks-b64-w0,0.257791996,0.375824004,0.524111987,39.500843501,37.848073725,42.243837213,10/10
work-b64-w8,0.263439998,0.523808003,0.522720009,0.006064798,-0.506971290,0.195540608,5/10
work-b64-w32,0.272688001,0.524304002,0.524495989,0.012213064,-0.158568028,0.174011739,5/10
work-b64-w128,0.524816007,0.532303989,0.533119977,0.156986990,-0.263106956,0.793955905,5/10
