config,valid_blocks,attempts,pp_tok_s_geomean
baseline,1,1,7034.557925000002
gpubpf_kernelretsnoop,1,1,133.20644000000001
nvbit_kernelretsnoop,1,1,135.56401299999996
gpubpf_threadhist,1,1,5296.527762000001
nvbit_threadhist,1,1,6671.404754000004
