config,valid_blocks,attempts,pp_tok_s_geomean
baseline,1,1,7042.822341000003
gpubpf_kernelretsnoop,0,1,
nvbit_kernelretsnoop,1,1,87.17668099999997
gpubpf_threadhist,1,1,4696.379092000004
nvbit_threadhist,1,1,6680.841184999995
