config,valid_blocks,attempts,pp_tok_s_geomean
baseline,10,10,38056.92764983501
gpubpf_kernelretsnoop,10,10,128.37355854713863
nvbit_kernelretsnoop,10,10,144.30165034724487
gpubpf_threadhist,10,10,36531.77186099722
nvbit_threadhist,10,10,34136.7723150551
