config,valid_blocks,attempts,pp_tok_s_geomean
baseline,1,1,7059.588664000002
gpubpf_kernelretsnoop,1,1,132.794941
nvbit_kernelretsnoop,1,1,136.313899
gpubpf_threadhist,1,1,5323.567249000003
nvbit_threadhist,1,1,6669.644384999995
